Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,4
2020-03-08,4
2020-03-09,4
2020-03-10,5
2020-03-11,7
2020-03-12,7
2020-03-13,7
2020-03-14,11
2020-03-15,16
2020-03-16,21
2020-03-17,22
2020-03-18,22
2020-03-19,22
2020-03-20,24
2020-03-21,24
2020-03-22,40
2020-03-23,40
2020-03-24,74
2020-03-25,84
2020-03-26,94
2020-03-27,110
2020-03-28,110
2020-03-29,120
2020-03-30,170
2020-03-31,174
2020-04-01,237
2020-04-02,273
2020-04-03,281
2020-04-04,309
2020-04-05,349
2020-04-06,367
2020-04-07,423
2020-04-08,444
2020-04-09,484
2020-04-10,521
2020-04-11,555
2020-04-12,607
2020-04-13,665
2020-04-14,714
2020-04-15,784
2020-04-16,840
2020-04-17,906
2020-04-18,933
2020-04-19,996
2020-04-20,1026
2020-04-21,1092
2020-04-22,1176
2020-04-23,1279
2020-04-24,1351
2020-04-25,1463
2020-04-26,1531
