Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,3.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,2.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,4.0
2020-03-15,5.0
2020-03-16,5.0
2020-03-17,1.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,2.0
2020-03-21,0.0
2020-03-22,16.0
2020-03-23,0.0
2020-03-24,34.0
2020-03-25,10.0
2020-03-26,10.0
2020-03-27,16.0
2020-03-28,0.0
2020-03-29,10.0
2020-03-30,50.0
2020-03-31,4.0
2020-04-01,63.0
2020-04-02,36.0
2020-04-03,8.0
2020-04-04,28.0
2020-04-05,40.0
2020-04-06,18.0
2020-04-07,56.0
2020-04-08,21.0
2020-04-09,40.0
2020-04-10,37.0
2020-04-11,34.0
2020-04-12,52.0
2020-04-13,58.0
2020-04-14,49.0
2020-04-15,70.0
2020-04-16,56.0
2020-04-17,66.0
2020-04-18,27.0
2020-04-19,63.0
2020-04-20,30.0
2020-04-21,66.0
2020-04-22,84.0
2020-04-23,103.0
2020-04-24,72.0
2020-04-25,112.0
2020-04-26,68.0
2020-04-27,172.0
2020-04-28,125.0
2020-04-29,111.0
2020-04-30,232.0
2020-05-01,164.0
2020-05-02,134.0
2020-05-03,235.0
2020-05-04,190.0
2020-05-05,330.0
2020-05-06,168.0
2020-05-07,171.0
2020-05-08,215.0
2020-05-09,255.0
2020-05-10,369.0
2020-05-11,285.0
2020-05-12,276.0
2020-05-13,263.0
2020-05-14,413.0
2020-05-15,414.0
2020-05-16,349.0
2020-05-17,262.0
2020-05-18,408.0
2020-05-19,581.0
2020-05-20,492.0
2020-05-21,531.0
2020-05-22,540.0
2020-05-23,782.0
2020-05-24,584.0
2020-05-25,591.0
2020-05-26,658.0
2020-05-27,625.0
2020-05-28,580.0
2020-05-29,623.0
