Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,8
2020-03-07,9
2020-03-08,12
2020-03-09,17
2020-03-10,19
2020-03-11,21
2020-03-12,31
2020-03-13,34
2020-03-14,45
2020-03-15,56
2020-03-16,65
2020-03-17,79
2020-03-18,97
2020-03-19,128
2020-03-20,158
2020-03-21,158
2020-03-22,266
2020-03-23,301
2020-03-24,387
2020-03-25,502
2020-03-26,589
2020-03-27,589
2020-03-28,745
2020-03-29,820
2020-03-30,820
2020-03-31,1054
2020-04-01,1133
2020-04-02,1265
2020-04-03,1353
2020-04-04,1451
2020-04-05,1554
2020-04-06,1628
2020-04-07,1715
2020-04-08,1795
2020-04-09,1894
2020-04-10,1975
2020-04-11,2142
2020-04-12,2142
2020-04-13,2277
2020-04-14,2277
2020-04-15,2571
2020-04-16,2669
2020-04-17,2669
2020-04-18,2839
2020-04-19,2941
2020-04-20,3031
2020-04-21,3144
2020-04-22,3288
2020-04-23,3435
2020-04-24,3607
2020-04-25,3780
2020-04-26,3892
2020-04-27,4003
2020-04-28,4127
2020-04-29,4285
2020-04-30,4428
2020-05-01,4532
2020-05-02,4681
2020-05-03,4783
2020-05-04,4887
2020-05-05,5020
2020-05-06,5208
2020-05-07,5371
2020-05-08,5611
2020-05-09,5776
2020-05-10,6034
2020-05-11,6278
2020-05-12,6563
2020-05-13,6879
2020-05-14,7134
2020-05-15,7479
2020-05-16,7805
2020-05-17,8068
2020-05-18,8371
2020-05-19,8809
2020-05-20,9283
2020-05-21,9931
2020-05-22,10649
2020-05-23,11353
2020-05-24,12076
2020-05-25,12628
2020-05-26,13228
2020-05-27,13933
2020-05-28,14702
2020-05-29,15419
2020-05-30,16214
2020-05-31,16851
2020-06-01,17415
2020-06-02,18319
2020-06-03,19268
2020-06-04,20197
2020-06-05,21037
2020-06-06,22020
2020-06-07,22794
2020-06-08,23620
2020-06-09,24761
2020-06-10,25987
2020-06-11,27373
2020-06-12,28764
2020-06-13,30295
2020-06-14,31577
2020-06-15,32785
2020-06-16,34159
2020-06-17,35552
2020-06-18,37510
2020-06-19,39570
2020-06-20,41204
2020-06-21,42785
2020-06-22,44931
2020-06-23,47203
2020-06-24,49851
2020-06-25,52457
2020-06-26,55343
2020-06-27,57744
