Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,3
2020-03-21,4
2020-03-22,4
2020-03-23,4
2020-03-24,6
2020-03-25,8
2020-03-26,12
2020-03-27,13
2020-03-28,19
2020-03-29,20
2020-03-30,23
2020-03-31,27
2020-04-01,32
2020-04-02,36
2020-04-03,42
2020-04-04,43
2020-04-05,46
2020-04-06,53
2020-04-07,60
2020-04-08,65
2020-04-09,79
2020-04-10,82
2020-04-11,89
2020-04-12,90
2020-04-13,98
2020-04-14,102
2020-04-15,112
2020-04-16,122
2020-04-17,123
2020-04-18,132
2020-04-19,134
2020-04-20,142
2020-04-21,151
2020-04-22,159
2020-04-23,165
2020-04-24,176
2020-04-25,185
2020-04-26,192
2020-04-27,197
2020-04-28,207
2020-04-29,214
2020-04-30,218
2020-05-01,225
2020-05-02,237
2020-05-03,246
2020-05-04,260
2020-05-05,264
2020-05-06,273
2020-05-07,282
2020-05-08,293
2020-05-09,300
2020-05-10,305
2020-05-11,314
2020-05-12,319
2020-05-13,329
2020-05-14,353
2020-05-15,356
2020-05-16,363
2020-05-17,373
2020-05-18,382
2020-05-19,393
2020-05-20,403
2020-05-21,416
2020-05-22,433
2020-05-23,445
2020-05-24,452
2020-05-25,467
2020-05-26,484
2020-05-27,500
2020-05-28,508
2020-05-29,520
