Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,8
2020-03-07,8
2020-03-08,11
2020-03-09,16
2020-03-10,18
2020-03-11,20
2020-03-12,30
2020-03-13,32
2020-03-14,43
2020-03-15,51
2020-03-16,60
2020-03-17,74
2020-03-18,92
2020-03-19,122
2020-03-20,152
2020-03-21,151
2020-03-22,235
2020-03-23,246
2020-03-24,329
2020-03-25,442
2020-03-26,505
2020-03-27,504
2020-03-28,654
2020-03-29,709
2020-03-30,569
2020-03-31,787
2020-04-01,853
2020-04-02,973
2020-04-03,1045
2020-04-04,1129
2020-04-05,1228
2020-04-06,1250
2020-04-07,1317
2020-04-08,1372
2020-04-09,1450
2020-04-10,1518
2020-04-11,1613
2020-04-12,1584
2020-04-13,1664
2020-04-14,1616
2020-04-15,1863
2020-04-16,1916
2020-04-17,1880
2020-04-18,2022
2020-04-19,2098
2020-04-20,2152
2020-04-21,2153
2020-04-22,2257
2020-04-23,2351
2020-04-24,2455
2020-04-25,2565
2020-04-26,2593
2020-04-27,2666
2020-04-28,2758
2020-04-29,2879
2020-04-30,2954
2020-05-01,3015
2020-05-02,3124
2020-05-03,3183
2020-05-04,3185
2020-05-05,3284
2020-05-06,3411
2020-05-07,3488
2020-05-08,3659
2020-05-09,3748
