Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,6
2020-03-13,8
2020-03-14,20
2020-03-15,28
2020-03-16,51
2020-03-17,77
2020-03-18,109
2020-03-19,121
2020-03-20,135
2020-03-21,159
2020-03-22,192
2020-03-23,233
2020-03-24,235
2020-03-25,249
2020-03-26,271
2020-03-27,300
2020-03-28,376
2020-03-29,391
2020-03-30,449
2020-03-31,499
2020-04-01,536
2020-04-02,623
2020-04-03,686
2020-04-04,720
2020-04-05,758
2020-04-06,763
2020-04-07,758
2020-04-08,758
2020-04-09,773
2020-04-10,776
2020-04-11,781
2020-04-12,803
2020-04-13,814
2020-04-14,786
2020-04-15,797
2020-04-16,783
2020-04-17,780
2020-04-18,705
2020-04-19,726
2020-04-20,737
2020-04-21,768
2020-04-22,816
2020-04-23,840
2020-04-24,841
2020-04-25,846
2020-04-26,885
2020-04-27,931
2020-04-28,971
2020-04-29,1002
2020-04-30,1105
2020-05-01,1138
2020-05-02,1230
2020-05-03,1316
2020-05-04,1397
2020-05-05,1468
2020-05-06,1607
2020-05-07,1657
2020-05-08,1768
2020-05-09,1864
2020-05-10,1943
2020-05-11,1987
2020-05-12,2061
2020-05-13,2170
2020-05-14,2239
2020-05-15,2326
2020-05-16,2437
2020-05-17,2487
2020-05-18,2743
2020-05-19,2813
2020-05-20,2785
2020-05-21,2955
2020-05-22,2980
2020-05-23,3289
2020-05-24,3516
2020-05-25,3881
2020-05-26,4091
2020-05-27,4421
2020-05-28,4816
2020-05-29,5259
2020-05-30,5483
2020-05-31,5765
2020-06-01,5951
2020-06-02,6424
2020-06-03,6900
2020-06-04,7577
2020-06-05,8121
2020-06-06,8454
2020-06-07,8916
2020-06-08,9015
2020-06-09,9007
2020-06-10,8650
2020-06-11,8958
2020-06-12,9384
2020-06-13,9659
2020-06-14,10184
2020-06-15,10503
2020-06-16,10625
2020-06-17,10917
2020-06-18,10829
2020-06-19,10572
2020-06-20,10522
2020-06-21,10916
