Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,4
2020-03-19,5
2020-03-20,5
2020-03-21,5
2020-03-22,9
2020-03-23,9
2020-03-24,17
2020-03-25,19
2020-03-26,28
2020-03-27,33
2020-03-28,46
2020-03-29,50
2020-03-30,50
2020-03-31,55
2020-04-01,55
2020-04-02,60
2020-04-03,62
2020-04-04,64
2020-04-05,64
2020-04-06,71
2020-04-07,74
2020-04-08,77
2020-04-09,82
2020-04-10,86
2020-04-11,92
2020-04-12,92
2020-04-13,92
2020-04-14,92
2020-04-15,93
2020-04-16,95
2020-04-17,96
2020-04-18,96
2020-04-19,97
2020-04-20,97
2020-04-21,97
2020-04-22,100
2020-04-23,100
2020-04-24,100
2020-04-25,100
2020-04-26,100
2020-04-27,100
2020-04-28,100
2020-04-29,100
2020-04-30,100
2020-05-01,100
2020-05-02,100
2020-05-03,100
2020-05-04,100
2020-05-05,101
2020-05-06,101
2020-05-07,101
2020-05-08,101
2020-05-09,101
2020-05-10,101
2020-05-11,101
2020-05-12,101
2020-05-13,101
