Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,4
2020-03-19,4
2020-03-20,4
2020-03-21,4
2020-03-22,8
2020-03-23,8
2020-03-24,16
2020-03-25,18
2020-03-26,27
2020-03-27,32
2020-03-28,45
2020-03-29,49
2020-03-30,49
2020-03-31,54
2020-04-01,54
2020-04-02,59
2020-04-03,61
2020-04-04,63
2020-04-05,63
2020-04-06,69
2020-04-07,60
2020-04-08,63
2020-04-09,62
2020-04-10,59
2020-04-11,63
2020-04-12,60
2020-04-13,60
2020-04-14,60
2020-04-15,53
2020-04-16,54
2020-04-17,51
2020-04-18,50
2020-04-19,46
2020-04-20,46
2020-04-21,44
2020-04-22,30
2020-04-23,30
2020-04-24,29
2020-04-25,29
2020-04-26,25
2020-04-27,25
2020-04-28,25
2020-04-29,25
2020-04-30,19
2020-05-01,17
2020-05-02,17
2020-05-03,17
2020-05-04,17
2020-05-05,17
2020-05-06,10
2020-05-07,9
2020-05-08,9
2020-05-09,9
