Date,Total Coronavirus Cases
2020-02-15,15
2020-02-16,15
2020-02-17,15
2020-02-18,15
2020-02-19,15
2020-02-20,17
2020-02-21,19
2020-02-22,21
2020-02-23,22
2020-02-24,22
2020-02-25,22
2020-02-26,23
2020-02-27,23
2020-02-28,25
2020-02-29,25
2020-03-01,29
2020-03-02,33
2020-03-03,39
2020-03-04,53
2020-03-05,60
2020-03-06,63
2020-03-07,74
2020-03-08,83
2020-03-09,93
2020-03-10,116
2020-03-11,128
2020-03-12,156
2020-03-13,199
2020-03-14,248
2020-03-15,300
2020-03-16,401
2020-03-17,455
2020-03-18,596
2020-03-19,756
2020-03-20,928
2020-03-21,1072
2020-03-22,1609
2020-03-23,1887
2020-03-24,2317
2020-03-25,2676
2020-03-26,3050
2020-03-27,3378
2020-03-28,3635
2020-03-29,4163
2020-03-30,4460
2020-03-31,4763
2020-04-01,5048
2020-04-02,5314
2020-04-03,5454
2020-04-04,5550
2020-04-05,5750
2020-04-06,5895
2020-04-07,5988
2020-04-08,6052
2020-04-09,6152
2020-04-10,6238
2020-04-11,6303
2020-04-12,6313
2020-04-13,6359
2020-04-14,6400
2020-04-15,6447
2020-04-16,6468
2020-04-17,6533
2020-04-18,6586
2020-04-19,6612
2020-04-20,6625
2020-04-21,6645
2020-04-22,6649
2020-04-23,6667
2020-04-24,6675
2020-04-25,6695
2020-04-26,6716
2020-04-27,6720
2020-04-28,6738
2020-04-29,6746
2020-04-30,6754
2020-05-01,6767
2020-05-02,6781
2020-05-03,6801
2020-05-04,6825
2020-05-05,6849
2020-05-06,6875
2020-05-07,6896
2020-05-08,6914
2020-05-09,6929
2020-05-10,6941
2020-05-11,6948
2020-05-12,6964
2020-05-13,6980
2020-05-14,6989
2020-05-15,7019
2020-05-16,7036
2020-05-17,7045
2020-05-18,7060
2020-05-19,7068
2020-05-20,7079
2020-05-21,7081
2020-05-22,7095
