Date,Percent (%)
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,6.25
2020-03-02,6.25
2020-03-03,4.55
2020-03-04,8.7
2020-03-05,8.33
2020-03-06,8.33
2020-03-07,12.0
2020-03-08,12.0
2020-03-09,12.0
2020-03-10,12.0
2020-03-11,11.11
2020-03-12,10.34
2020-03-13,10.34
2020-03-14,10.0
2020-03-15,15.63
2020-03-16,15.63
2020-03-17,15.63
2020-03-18,12.24
2020-03-19,13.21
2020-03-20,13.21
2020-03-21,13.21
2020-03-22,7.37
2020-03-23,5.6
2020-03-24,6.35
2020-03-25,8.53
2020-03-26,7.1
2020-03-27,7.1
2020-03-28,7.61
2020-03-29,6.51
2020-03-30,7.22
2020-03-31,5.48
2020-04-01,6.25
2020-04-02,4.1
2020-04-03,4.57
2020-04-04,4.88
2020-04-05,3.31
2020-04-06,1.82
2020-04-07,1.89
2020-04-08,1.75
2020-04-09,1.68
2020-04-10,1.69
2020-04-11,1.69
2020-04-12,1.74
2020-04-13,1.72
2020-04-14,1.67
2020-04-15,1.68
2020-04-16,1.65
2020-04-17,1.67
2020-04-18,1.65
2020-04-19,1.65
2020-04-20,1.64
2020-04-21,1.49
2020-04-22,1.48
2020-04-23,1.46
2020-04-24,1.51
2020-04-25,1.47
2020-04-26,1.47
2020-04-27,1.46
2020-04-28,1.54
2020-04-29,1.55
2020-04-30,1.58
2020-05-01,1.59
2020-05-02,1.58
2020-05-03,1.61
2020-05-04,1.6
2020-05-05,1.6
2020-05-06,1.6
2020-05-07,1.58
2020-05-08,1.57
2020-05-09,1.56
2020-05-10,1.55
2020-05-11,1.55
2020-05-12,1.53
2020-05-13,1.54
2020-05-14,1.53
2020-05-15,1.52
2020-05-16,1.52
2020-05-17,1.52
2020-05-18,1.53
2020-05-19,1.54
2020-05-20,1.53
2020-05-21,1.52
2020-05-22,1.53
2020-05-23,1.55
2020-05-24,1.54
2020-05-25,1.54
2020-05-26,1.53
2020-05-27,1.54
2020-05-28,1.54
2020-05-29,1.54
