Date,New Daily Coronavirus Cases+Cured
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,2
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,2
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,0
2020-03-15,0
2020-03-16,2
2020-03-17,1
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,103
2020-03-27,113
2020-03-28,0
2020-03-29,254
2020-03-30,157
2020-03-31,459
2020-04-01,341
2020-04-02,313
2020-04-03,273
2020-04-04,485
2020-04-05,491
2020-04-06,465
2020-04-07,583
2020-04-08,466
2020-04-09,728
2020-04-10,824
2020-04-11,540
2020-04-12,383
2020-04-13,356
2020-04-14,290
2020-04-15,465
2020-04-16,888
2020-04-17,718
2020-04-18,510
2020-04-19,287
2020-04-20,130
2020-04-21,340
2020-04-22,357
2020-04-23,366
2020-04-24,178
2020-04-25,231
2020-04-26,179
