Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,2
2020-02-26,2
2020-02-27,5
2020-02-28,7
2020-02-29,10
2020-03-01,14
2020-03-02,18
2020-03-03,24
2020-03-04,29
2020-03-05,41
2020-03-06,64
2020-03-07,79
2020-03-08,102
2020-03-09,129
2020-03-10,178
2020-03-11,242
2020-03-12,356
2020-03-13,497
2020-03-14,648
2020-03-15,853
2020-03-16,1007
2020-03-17,1319
2020-03-18,1633
2020-03-19,2164
2020-03-20,2634
2020-03-21,2975
2020-03-22,3557
2020-03-23,4444
2020-03-24,5246
2020-03-25,5548
2020-03-26,6748
2020-03-27,7414
2020-03-28,7978
2020-03-29,8223
2020-03-30,8874
2020-03-31,8957
2020-04-01,9129
2020-04-02,9222
2020-04-03,9334
2020-04-04,9088
2020-04-05,8849
2020-04-06,8614
2020-04-07,8350
2020-04-08,8157
2020-04-09,7709
2020-04-10,7177
2020-04-11,6865
2020-04-12,6608
2020-04-13,6330
2020-04-14,6209
2020-04-15,5859
2020-04-16,5080
2020-04-17,4460
2020-04-18,4014
2020-04-19,3796
2020-04-20,3694
2020-04-21,3411
2020-04-22,3087
2020-04-23,2786
2020-04-24,2669
2020-04-25,2509
2020-04-26,2401
2020-04-27,2363
2020-04-28,2208
2020-04-29,2043
2020-04-30,1961
2020-05-01,1832
2020-05-02,1782
2020-05-03,1771
2020-05-04,1705
2020-05-05,1582
2020-05-06,1437
2020-05-07,1445
2020-05-08,1324
2020-05-09,1290
2020-05-10,1262
2020-05-11,1201
2020-05-12,1190
2020-05-13,1069
2020-05-14,1027
2020-05-15,1010
2020-05-16,1048
2020-05-17,1050
2020-05-18,1026
2020-05-19,1011
2020-05-20,838
2020-05-21,820
2020-05-22,796
2020-05-23,810
2020-05-24,800
2020-05-25,760
2020-05-26,732
2020-05-27,718
2020-05-28,674
2020-05-29,640
2020-05-30,497
2020-05-31,470
2020-06-01,469
2020-06-02,461
2020-06-03,429
2020-06-04,418
2020-06-05,429
2020-06-06,437
2020-06-07,437
2020-06-08,457
2020-06-09,432
2020-06-10,422
2020-06-11,411
2020-06-12,404
2020-06-13,389
2020-06-14,373
2020-06-15,391
2020-06-16,419
2020-06-17,417
2020-06-18,434
2020-06-19,442
2020-06-20,460
2020-06-21,454
