Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,2
2020-03-26,3
2020-03-27,3
2020-03-28,4
2020-03-29,4
2020-03-30,4
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,5
2020-04-05,7
2020-04-06,7
2020-04-07,8
2020-04-08,8
2020-04-09,9
2020-04-10,10
2020-04-11,11
2020-04-12,11
2020-04-13,12
2020-04-14,13
2020-04-15,13
2020-04-16,15
2020-04-17,15
2020-04-18,18
2020-04-19,19
2020-04-20,19
2020-04-21,20
2020-04-22,20
2020-04-23,20
2020-04-24,21
2020-04-25,21
2020-04-26,21
2020-04-27,22
2020-04-28,22
2020-04-29,23
2020-04-30,24
2020-05-01,25
2020-05-02,25
2020-05-03,25
2020-05-04,26
2020-05-05,26
2020-05-06,28
2020-05-07,28
2020-05-08,28
2020-05-09,31
2020-05-10,32
2020-05-11,32
2020-05-12,33
2020-05-13,35
2020-05-14,35
2020-05-15,36
2020-05-16,36
2020-05-17,39
2020-05-18,40
2020-05-19,41
2020-05-20,43
2020-05-21,44
2020-05-22,46
