Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,3
2020-03-20,4
2020-03-21,4
2020-03-22,4
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,8
2020-03-27,9
2020-03-28,9
2020-03-29,13
2020-03-30,13
2020-03-31,13
2020-04-01,19
2020-04-02,22
2020-04-03,21
2020-04-04,24
2020-04-05,20
2020-04-06,23
2020-04-07,22
2020-04-08,28
2020-04-09,28
2020-04-10,29
2020-04-11,33
2020-04-12,33
2020-04-13,35
2020-04-14,35
2020-04-15,39
2020-04-16,39
2020-04-17,36
2020-04-18,39
2020-04-19,40
2020-04-20,40
2020-04-21,44
2020-04-22,44
2020-04-23,47
2020-04-24,47
2020-04-25,52
2020-04-26,47
2020-04-27,47
2020-04-28,46
2020-04-29,46
2020-04-30,46
2020-05-01,46
2020-05-02,48
2020-05-03,48
2020-05-04,47
2020-05-05,52
2020-05-06,55
2020-05-07,55
2020-05-08,50
2020-05-09,44
2020-05-10,44
2020-05-11,43
2020-05-12,43
2020-05-13,42
2020-05-14,44
2020-05-15,44
2020-05-16,43
2020-05-17,43
2020-05-18,42
2020-05-19,42
2020-05-20,43
2020-05-21,42
2020-05-22,42
2020-05-23,44
2020-05-24,44
2020-05-25,43
2020-05-26,43
2020-05-27,43
2020-05-28,43
2020-05-29,43
2020-05-30,43
2020-05-31,43
2020-06-01,42
2020-06-02,42
2020-06-03,36
2020-06-04,36
2020-06-05,36
2020-06-06,30
2020-06-07,30
2020-06-08,28
2020-06-09,28
2020-06-10,25
2020-06-11,24
2020-06-12,24
2020-06-13,24
2020-06-14,24
2020-06-15,24
2020-06-16,21
2020-06-17,21
2020-06-18,19
2020-06-19,19
2020-06-20,19
2020-06-21,16
