Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,2
2020-02-25,23
2020-02-26,33
2020-02-27,33
2020-02-28,38
2020-02-29,41
2020-03-01,47
2020-03-02,49
2020-03-03,49
2020-03-04,52
2020-03-05,55
2020-03-06,60
2020-03-07,85
2020-03-08,85
2020-03-09,109
2020-03-10,110
2020-03-11,195
2020-03-12,197
2020-03-13,210
2020-03-14,212
2020-03-15,214
2020-03-16,228
2020-03-17,241
2020-03-18,256
2020-03-19,279
2020-03-20,298
2020-03-21,310
2020-03-22,334
2020-03-23,377
2020-03-24,392
2020-03-25,419
2020-03-26,458
2020-03-27,466
2020-03-28,476
2020-03-29,499
2020-03-30,515
2020-03-31,567
2020-04-01,569
2020-04-02,643
2020-04-03,672
2020-04-04,688
2020-04-05,700
2020-04-06,756
2020-04-07,811
2020-04-08,823
2020-04-09,887
2020-04-10,925
2020-04-11,1040
2020-04-12,1136
2020-04-13,1361
2020-04-14,1528
2020-04-15,1671
2020-04-16,1700
2020-04-17,1740
2020-04-18,1773
2020-04-19,1881
2020-04-20,1907
2020-04-21,1973
2020-04-22,2027
2020-04-23,2217
2020-04-24,2518
2020-04-25,2588
2020-04-26,2647
