Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,18.0
2020-02-26,10.0
2020-02-27,0.0
2020-02-28,7.0
2020-02-29,2.0
2020-03-01,6.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,5.0
2020-03-05,2.0
2020-03-06,6.0
2020-03-07,23.0
2020-03-08,2.0
2020-03-09,24.0
2020-03-10,79.0
2020-03-11,7.0
2020-03-12,9.0
2020-03-13,6.0
2020-03-14,2.0
2020-03-15,3.0
2020-03-16,18.0
2020-03-17,11.0
2020-03-18,18.0
2020-03-19,20.0
2020-03-20,16.0
2020-03-21,12.0
2020-03-22,26.0
2020-03-23,45.0
2020-03-24,25.0
2020-03-25,15.0
2020-03-26,37.0
2020-03-27,8.0
2020-03-28,32.0
2020-03-29,2.0
2020-03-30,26.0
2020-03-31,41.0
2020-04-01,8.0
2020-04-02,89.0
2020-04-03,10.0
2020-04-04,18.0
2020-04-05,10.0
2020-04-06,61.0
2020-04-07,48.0
2020-04-08,12.0
2020-04-09,78.0
2020-04-10,97.0
2020-04-11,53.0
2020-04-12,259.0
2020-04-13,75.0
2020-04-14,168.0
2020-04-15,133.0
2020-04-16,39.0
2020-04-17,29.0
2020-04-18,38.0
2020-04-19,100.0
2020-04-20,20.0
2020-04-21,62.0
2020-04-22,67.0
2020-04-23,284.0
2020-04-24,193.0
2020-04-25,109.0
2020-04-26,27.0
2020-04-27,103.0
2020-04-28,61.0
2020-04-29,167.0
2020-04-30,73.0
2020-05-01,156.0
2020-05-02,101.0
2020-05-03,74.0
2020-05-04,172.0
2020-05-05,171.0
2020-05-06,305.0
2020-05-07,251.0
2020-05-08,173.0
2020-05-09,325.0
2020-05-10,302.0
2020-05-11,189.0
2020-05-12,372.0
2020-05-13,312.0
2020-05-14,426.0
2020-05-15,263.0
2020-05-16,162.0
2020-05-17,193.0
2020-05-18,238.0
2020-05-19,351.0
2020-05-20,378.0
2020-05-21,281.0
2020-05-22,386.0
2020-05-23,330.0
2020-05-24,186.0
2020-05-25,30.0
2020-05-26,391.0
2020-05-27,197.0
2020-05-28,411.0
2020-05-29,441.0
2020-05-30,500.0
2020-05-31,482.0
2020-06-01,447.0
2020-06-02,451.0
2020-06-03,492.0
2020-06-04,521.0
2020-06-05,508.0
2020-06-06,511.0
2020-06-07,593.0
2020-06-08,602.0
2020-06-09,468.0
2020-06-10,467.0
2020-06-11,601.0
2020-06-12,445.0
2020-06-13,514.0
2020-06-14,317.0
2020-06-15,469.0
2020-06-16,539.0
2020-06-17,406.0
2020-06-18,469.0
2020-06-19,486.0
2020-06-20,415.0
2020-06-21,434.0
2020-06-22,643.0
2020-06-23,655.0
2020-06-24,508.0
2020-06-25,511.0
2020-06-26,724.0
2020-06-27,462.0
