Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,3
2020-03-14,5
2020-03-15,5
2020-03-16,8
2020-03-17,10
2020-03-18,14
2020-03-19,18
2020-03-20,20
2020-03-21,24
2020-03-22,27
2020-03-23,33
2020-03-24,39
2020-03-25,39
2020-03-26,44
2020-03-27,48
2020-03-28,48
2020-03-29,48
2020-03-30,49
2020-03-31,51
2020-04-01,54
2020-04-02,56
2020-04-03,61
2020-04-04,70
2020-04-05,88
2020-04-06,123
2020-04-07,164
2020-04-08,218
2020-04-09,330
2020-04-10,424
2020-04-11,482
2020-04-12,621
2020-04-13,803
2020-04-14,1012
2020-04-15,1231
2020-04-16,1572
2020-04-17,1838
2020-04-18,2144
2020-04-19,2456
2020-04-20,2948
2020-04-21,3382
2020-04-22,3772
2020-04-23,4186
2020-04-24,4689
2020-04-25,4998
2020-04-26,5416
