Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,2
2020-03-14,3
2020-03-15,3
2020-03-16,5
2020-03-17,7
2020-03-18,10
2020-03-19,14
2020-03-20,16
2020-03-21,19
2020-03-22,22
2020-03-23,25
2020-03-24,30
2020-03-25,27
2020-03-26,28
2020-03-27,32
2020-03-28,28
2020-03-29,28
2020-03-30,25
2020-03-31,21
2020-04-01,23
2020-04-02,25
2020-04-03,29
2020-04-04,32
2020-04-05,46
2020-04-06,78
2020-04-07,114
2020-04-08,165
2020-04-09,276
2020-04-10,364
2020-04-11,416
2020-04-12,548
2020-04-13,722
2020-04-14,924
2020-04-15,1132
2020-04-16,1463
2020-04-17,1705
2020-04-18,1994
2020-04-19,2290
2020-04-20,2762
2020-04-21,3185
2020-04-22,3560
2020-04-23,3951
2020-04-24,4446
2020-04-25,4745
2020-04-26,5149
2020-04-27,5630
2020-04-28,6168
2020-04-29,6790
2020-04-30,7339
2020-05-01,7894
2020-05-02,8438
2020-05-03,8215
2020-05-04,8752
2020-05-05,9343
2020-05-06,10130
2020-05-07,10316
2020-05-08,10827
2020-05-09,11142
2020-05-10,11779
2020-05-11,12550
2020-05-12,13263
2020-05-13,14192
2020-05-14,14977
2020-05-15,15885
2020-05-16,16564
2020-05-17,17567
2020-05-18,18936
2020-05-19,19758
2020-05-20,21145
2020-05-21,22501
2020-05-22,23583
2020-05-23,25140
2020-05-24,26229
2020-05-25,27750
2020-05-26,28650
2020-05-27,29823
2020-05-28,31337
2020-05-29,33247
2020-05-30,34623
2020-05-31,36722
2020-06-01,38265
2020-06-02,40616
2020-06-03,42804
2020-06-04,44621
2020-06-05,46776
2020-06-06,48855
2020-06-07,50978
2020-06-08,53014
2020-06-09,55363
2020-06-10,57953
2020-06-11,60256
2020-06-12,63179
2020-06-13,65412
2020-06-14,67619
2020-06-15,70679
2020-06-16,56955
2020-06-17,58995
2020-06-18,60785
2020-06-19,61202
2020-06-20,63357
2020-06-21,65765
2020-06-22,67529
2020-06-23,70018
2020-06-24,71412
2020-06-25,73490
2020-06-26,75680
2020-06-27,77965
