Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,2
2020-03-18,2
2020-03-19,5
2020-03-20,6
2020-03-21,14
2020-03-22,14
2020-03-23,17
2020-03-24,18
2020-03-25,18
2020-03-26,24
2020-03-27,26
2020-03-28,26
2020-03-29,33
2020-03-30,33
2020-03-31,34
2020-04-01,45
2020-04-02,46
2020-04-03,51
2020-04-04,52
2020-04-05,49
2020-04-06,52
2020-04-07,54
2020-04-08,52
2020-04-09,52
2020-04-10,52
2020-04-11,53
2020-04-12,56
2020-04-13,55
2020-04-14,53
2020-04-15,53
2020-04-16,55
2020-04-17,55
2020-04-18,53
2020-04-19,53
2020-04-20,47
2020-04-21,45
2020-04-22,43
2020-04-23,40
2020-04-24,40
2020-04-25,42
2020-04-26,34
2020-04-27,35
2020-04-28,35
2020-04-29,34
2020-04-30,35
2020-05-01,35
2020-05-02,30
2020-05-03,30
2020-05-04,29
2020-05-05,28
2020-05-06,28
2020-05-07,22
2020-05-08,23
2020-05-09,20
