Date,Total Coronavirus Cases
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,2
2020-03-02,8
2020-03-03,15
2020-03-04,23
2020-03-05,50
2020-03-06,109
2020-03-07,169
2020-03-08,200
2020-03-09,239
2020-03-10,267
2020-03-11,314
2020-03-12,399
2020-03-13,559
2020-03-14,689
2020-03-15,886
2020-03-16,1058
2020-03-17,1243
2020-03-18,1486
2020-03-19,1795
2020-03-20,2257
2020-03-21,2815
2020-03-22,3401
2020-03-23,3743
2020-03-24,4269
2020-03-25,4937
2020-03-26,6235
2020-03-27,7284
2020-03-28,9134
2020-03-29,10836
2020-03-30,11899
2020-03-31,12775
2020-04-01,13964
2020-04-02,15348
2020-04-03,16770
2020-04-04,18431
2020-04-05,19691
2020-04-06,20814
2020-04-07,22194
2020-04-08,23403
2020-04-09,24983
2020-04-10,26667
2020-04-11,28018
2020-04-12,29647
2020-04-13,30589
2020-04-14,31119
2020-04-15,33573
2020-04-16,34809
2020-04-17,36138
2020-04-18,37183
2020-04-19,38496
2020-04-20,39983
2020-04-21,40956
2020-04-22,41889
2020-04-23,42797
2020-04-24,44293
2020-04-25,45325
2020-04-26,46134
2020-04-27,46687
2020-04-28,47334
2020-04-29,47859
2020-04-30,48519
2020-05-01,49032
2020-05-02,49517
2020-05-03,49906
2020-05-04,50267
2020-05-05,50509
2020-05-06,50781
2020-05-07,51420
2020-05-08,52011
2020-05-09,52596
2020-05-10,53081
2020-05-11,53449
2020-05-12,53779
2020-05-13,53981
2020-05-14,54288
2020-05-15,54644
2020-05-16,54989
2020-05-17,55280
2020-05-18,55559
2020-05-19,55791
2020-05-20,55983
2020-05-21,56235
2020-05-22,56511
2020-05-23,56810
2020-05-24,57092
2020-05-25,57342
2020-05-26,57455
2020-05-27,57592
2020-05-28,57849
2020-05-29,58061
2020-05-30,58186
2020-05-31,58381
2020-06-01,58517
2020-06-02,58615
2020-06-03,58685
2020-06-04,58767
2020-06-05,58907
2020-06-06,59072
2020-06-07,59226
2020-06-08,59348
2020-06-09,59437
2020-06-10,59569
2020-06-11,59711
2020-06-12,59819
2020-06-13,59918
2020-06-14,60029
2020-06-15,60100
2020-06-16,60155
2020-06-17,60244
2020-06-18,60348
2020-06-19,60476
2020-06-20,60550
2020-06-21,60550
