Date,Percent (%)
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,75.0
2020-03-12,75.0
2020-03-13,75.0
2020-03-14,80.0
2020-03-15,80.0
2020-03-16,90.91
2020-03-17,41.67
2020-03-18,31.11
2020-03-19,11.29
2020-03-20,15.35
2020-03-21,20.3
2020-03-22,22.19
2020-03-23,18.0
2020-03-24,20.93
2020-03-25,24.55
2020-03-26,24.58
2020-03-27,25.2
2020-03-28,24.93
2020-03-29,24.08
2020-03-30,25.15
2020-03-31,29.36
2020-04-01,27.97
2020-04-02,28.84
2020-04-03,28.47
2020-04-04,28.32
2020-04-05,27.84
2020-04-06,29.05
2020-04-07,32.86
2020-04-08,32.37
2020-04-09,32.82
2020-04-10,35.16
2020-04-11,35.86
2020-04-12,35.77
2020-04-13,36.79
2020-04-14,37.71
2020-04-15,38.45
2020-04-16,39.11
2020-04-17,39.34
2020-04-18,39.51
2020-04-19,39.36
2020-04-20,39.58
2020-04-21,39.99
2020-04-22,39.9
2020-04-23,39.84
2020-04-24,39.75
2020-04-25,39.9
2020-04-26,39.68
