Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,3.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,6.0
2020-03-17,0.0
2020-03-18,4.0
2020-03-19,7.0
2020-03-20,16.0
2020-03-21,30.0
2020-03-22,8.0
2020-03-23,13.0
2020-03-24,34.0
2020-03-25,56.0
2020-03-26,42.0
2020-03-27,69.0
2020-03-28,64.0
2020-03-29,78.0
2020-03-30,82.0
2020-03-31,192.0
2020-04-01,123.0
2020-04-02,183.0
2020-04-03,132.0
2020-04-04,140.0
2020-04-05,164.0
2020-04-06,185.0
2020-04-07,403.0
2020-04-08,205.0
2020-04-09,283.0
2020-04-10,496.0
2020-04-11,327.0
2020-04-12,254.0
2020-04-13,303.0
2020-04-14,254.0
2020-04-15,283.0
2020-04-16,417.0
2020-04-17,306.0
2020-04-18,290.0
2020-04-19,230.0
2020-04-20,145.0
2020-04-21,170.0
2020-04-22,264.0
2020-04-23,228.0
2020-04-24,189.0
2020-04-25,238.0
2020-04-26,177.0
2020-04-27,113.0
2020-04-28,124.0
2020-04-29,170.0
2020-04-30,93.0
2020-05-01,109.0
2020-05-02,62.0
2020-05-03,79.0
2020-05-04,80.0
2020-05-05,92.0
2020-05-06,323.0
2020-05-07,76.0
2020-05-08,106.0
2020-05-09,60.0
2020-05-10,75.0
2020-05-11,51.0
2020-05-12,54.0
2020-05-13,82.0
2020-05-14,60.0
2020-05-15,56.0
2020-05-16,46.0
2020-05-17,47.0
2020-05-18,28.0
2020-05-19,28.0
2020-05-20,42.0
2020-05-21,36.0
2020-05-22,26.0
2020-05-23,25.0
2020-05-24,43.0
2020-05-25,32.0
2020-05-26,22.0
2020-05-27,30.0
2020-05-28,24.0
2020-05-29,42.0
