Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,6
2020-03-24,6
2020-03-25,6
2020-03-26,6
2020-03-27,6
2020-03-28,6
2020-03-29,6
2020-03-30,6
2020-03-31,8
2020-04-01,12
2020-04-02,12
2020-04-03,14
2020-04-04,14
2020-04-05,17
2020-04-06,20
2020-04-07,20
2020-04-08,20
2020-04-09,20
2020-04-10,29
2020-04-11,29
2020-04-12,29
2020-04-13,29
2020-04-14,16
2020-04-15,16
2020-04-16,16
2020-04-17,16
2020-04-18,16
2020-04-19,16
2020-04-20,26
2020-04-21,26
2020-04-22,26
2020-04-23,26
2020-04-24,26
2020-04-25,26
2020-04-26,30
2020-04-27,30
2020-04-28,30
2020-04-29,30
2020-04-30,30
2020-05-01,46
2020-05-02,46
2020-05-03,46
2020-05-04,44
2020-05-05,44
2020-05-06,44
2020-05-07,85
2020-05-08,178
2020-05-09,220
2020-05-10,255
2020-05-11,255
2020-05-12,249
2020-05-13,242
2020-05-14,254
2020-05-15,254
2020-05-16,254
2020-05-17,254
2020-05-18,254
2020-05-19,45
2020-05-20,45
2020-05-21,71
2020-05-22,71
2020-05-23,71
2020-05-24,106
2020-05-25,104
2020-05-26,87
2020-05-27,73
2020-05-28,73
2020-05-29,85
2020-05-30,85
2020-05-31,86
2020-06-01,93
2020-06-02,93
2020-06-03,93
2020-06-04,107
2020-06-05,107
2020-06-06,107
2020-06-07,107
2020-06-08,98
2020-06-09,113
2020-06-10,113
2020-06-11,113
2020-06-12,166
2020-06-13,184
2020-06-14,208
2020-06-15,242
2020-06-16,287
2020-06-17,326
2020-06-18,348
2020-06-19,392
2020-06-20,392
2020-06-21,499
2020-06-22,541
2020-06-23,565
2020-06-24,612
2020-06-25,715
2020-06-26,747
2020-06-27,815
