Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,6
2020-03-23,6
2020-03-24,6
2020-03-25,7
2020-03-26,15
2020-03-27,17
2020-03-28,17
2020-03-29,22
2020-03-30,27
2020-03-31,32
2020-04-01,32
2020-04-02,35
2020-04-03,35
2020-04-04,37
2020-04-05,37
2020-04-06,39
2020-04-07,39
2020-04-08,39
2020-04-09,48
2020-04-10,48
2020-04-11,48
2020-04-12,57
2020-04-13,57
2020-04-14,57
2020-04-15,81
2020-04-16,81
2020-04-17,83
2020-04-18,83
2020-04-19,86
2020-04-20,89
2020-04-21,98
2020-04-22,99
2020-04-23,99
2020-04-24,99
2020-04-25,109
2020-04-26,109
2020-04-27,110
2020-04-28,110
2020-04-29,111
2020-04-30,114
2020-05-01,114
2020-05-02,114
2020-05-03,115
2020-05-04,115
2020-05-05,115
2020-05-06,118
2020-05-07,118
2020-05-08,118
2020-05-09,118
2020-05-10,118
2020-05-11,119
2020-05-12,121
2020-05-13,121
