Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,2
2020-03-11,2
2020-03-12,3
2020-03-13,10
2020-03-14,10
2020-03-15,10
2020-03-16,11
2020-03-17,12
2020-03-18,12
2020-03-19,15
2020-03-20,16
2020-03-21,19
2020-03-22,24
2020-03-23,27
2020-03-24,29
2020-03-25,32
2020-03-26,61
2020-03-27,61
2020-03-28,74
2020-03-29,80
2020-03-30,93
2020-03-31,101
2020-04-01,107
2020-04-02,114
2020-04-03,122
2020-04-04,128
2020-04-05,145
2020-04-06,170
2020-04-07,178
2020-04-08,193
2020-04-09,244
2020-04-10,247
2020-04-11,253
2020-04-12,274
2020-04-13,301
2020-04-14,320
2020-04-15,362
2020-04-16,398
2020-04-17,408
2020-04-18,431
2020-04-19,457
2020-04-20,500
2020-04-21,527
2020-04-22,528
2020-04-23,588
2020-04-24,616
2020-04-25,709
2020-04-26,746
2020-04-27,820
2020-04-28,863
2020-04-29,888
2020-04-30,934
2020-05-01,973
2020-05-02,1029
2020-05-03,1240
2020-05-04,1352
2020-05-05,1425
2020-05-06,1529
2020-05-07,1597
2020-05-08,1760
2020-05-09,1923
2020-05-10,2065
2020-05-11,2165
2020-05-12,2410
2020-05-13,2523
2020-05-14,2667
2020-05-15,2864
2020-05-16,2979
2020-05-17,3188
2020-05-18,3426
2020-05-19,3586
2020-05-20,3759
2020-05-21,4167
2020-05-22,4411
