Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,3
2020-03-05,8
2020-03-06,13
2020-03-07,19
2020-03-08,25
2020-03-09,25
2020-03-10,34
2020-03-11,52
2020-03-12,77
2020-03-13,150
2020-03-14,150
2020-03-15,198
2020-03-16,232
2020-03-17,343
2020-03-18,523
2020-03-19,631
2020-03-20,957
2020-03-21,1158
2020-03-22,1519
2020-03-23,1888
2020-03-24,2199
2020-03-25,2493
2020-03-26,2902
2020-03-27,3319
2020-03-28,3784
2020-03-29,4114
2020-03-30,4347
2020-03-31,5389
2020-04-01,6511
2020-04-02,7593
2020-04-03,8704
2020-04-04,9788
2020-04-05,10641
2020-04-06,11492
2020-04-07,13221
2020-04-08,15241
2020-04-09,17018
2020-04-10,18548
2020-04-11,19649
2020-04-12,20796
2020-04-13,21929
2020-04-14,9704
2020-04-15,12827
2020-04-16,14710
2020-04-17,17515
2020-04-18,20335
2020-04-19,14062
2020-04-20,16026
2020-04-21,16013
2020-04-22,17533
2020-04-23,19606
2020-04-24,21670
2020-04-25,25991
2020-04-26,28436
2020-04-27,30816
2020-04-28,35292
2020-04-29,39718
2020-04-30,43544
2020-05-01,47660
2020-05-02,48872
2020-05-03,51131
2020-05-04,55108
2020-05-05,58573
2020-05-06,66653
2020-05-07,71155
2020-05-08,76603
2020-05-09,83720
2020-05-10,86619
2020-05-11,90134
2020-05-12,92601
2020-05-13,97575
2020-05-14,109446
2020-05-15,118436
2020-05-16,127837
2020-05-17,130840
2020-05-18,138056
2020-05-19,147108
2020-05-20,157780
2020-05-21,164879
2020-05-22,174412
