Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,6
2020-03-11,11
2020-03-12,25
2020-03-13,37
2020-03-14,40
2020-03-15,50
2020-03-16,54
2020-03-17,56
2020-03-18,68
2020-03-19,73
2020-03-20,78
2020-03-21,83
2020-03-22,88
2020-03-23,91
2020-03-24,104
2020-03-25,109
2020-03-26,114
2020-03-27,115
2020-03-28,120
2020-03-29,126
2020-03-30,127
2020-03-31,129
2020-04-01,131
2020-04-02,133
2020-04-03,134
2020-04-04,135
2020-04-05,135
2020-04-06,135
2020-04-07,135
2020-04-08,135
2020-04-09,135
2020-04-10,136
2020-04-11,136
2020-04-12,136
2020-04-13,136
2020-04-14,136
2020-04-15,136
2020-04-16,136
2020-04-17,136
2020-04-18,137
2020-04-19,138
2020-04-20,138
2020-04-21,138
2020-04-22,138
2020-04-23,138
2020-04-24,138
2020-04-25,138
2020-04-26,138
2020-04-27,138
2020-04-28,138
2020-04-29,138
2020-04-30,138
2020-05-01,138
2020-05-02,138
2020-05-03,138
2020-05-04,138
2020-05-05,138
2020-05-06,139
2020-05-07,141
2020-05-08,141
2020-05-09,141
