Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,2
2020-03-08,4
2020-03-09,4
2020-03-10,6
2020-03-11,6
2020-03-12,22
2020-03-13,30
2020-03-14,39
2020-03-15,49
2020-03-16,60
2020-03-17,79
2020-03-18,90
2020-03-19,104
2020-03-20,123
2020-03-21,157
2020-03-22,181
2020-03-23,195
2020-03-24,212
2020-03-25,235
2020-03-26,253
2020-03-27,281
2020-03-28,313
2020-03-29,324
2020-03-30,334
2020-03-31,374
2020-04-01,392
2020-04-02,422
2020-04-03,441
2020-04-04,452
2020-04-05,474
2020-04-06,488
2020-04-07,512
2020-04-08,527
2020-04-09,546
2020-04-10,556
2020-04-11,571
2020-04-12,578
2020-04-13,582
2020-04-14,597
2020-04-15,606
2020-04-16,640
2020-04-17,664
2020-04-18,684
2020-04-19,691
2020-04-20,719
2020-04-21,760
2020-04-22,801
2020-04-23,855
2020-04-24,941
2020-04-25,995
2020-04-26,1039
