Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,3
2020-03-16,15
2020-03-17,15
2020-03-18,27
2020-03-19,33
2020-03-20,40
2020-03-21,64
2020-03-22,75
2020-03-23,99
2020-03-24,114
2020-03-25,146
2020-03-26,152
2020-03-27,180
2020-03-28,207
2020-03-29,222
2020-03-30,246
2020-03-31,261
2020-04-01,282
2020-04-02,288
2020-04-03,302
2020-04-04,318
2020-04-05,345
2020-04-06,364
2020-04-07,384
2020-04-08,414
2020-04-09,443
2020-04-10,448
2020-04-11,484
2020-04-12,497
2020-04-13,515
2020-04-14,528
2020-04-15,542
2020-04-16,546
2020-04-17,557
2020-04-18,565
2020-04-19,576
2020-04-20,581
2020-04-21,600
2020-04-22,609
2020-04-23,616
2020-04-24,629
2020-04-25,629
2020-04-26,632
2020-04-27,635
2020-04-28,638
2020-04-29,641
2020-04-30,645
2020-05-01,649
2020-05-02,652
2020-05-03,662
2020-05-04,672
2020-05-05,688
2020-05-06,729
2020-05-07,736
2020-05-08,744
2020-05-09,748
2020-05-10,751
2020-05-11,760
2020-05-12,766
2020-05-13,773
