Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,2
2020-03-25,3
2020-03-26,4
2020-03-27,4
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,6
2020-04-05,6
2020-04-06,5
2020-04-07,5
2020-04-08,5
2020-04-09,5
2020-04-10,5
2020-04-11,6
2020-04-12,6
2020-04-13,8
2020-04-14,9
2020-04-15,54
2020-04-16,54
2020-04-17,54
2020-04-18,56
2020-04-19,59
2020-04-20,65
2020-04-21,66
2020-04-22,71
2020-04-23,80
2020-04-24,86
2020-04-25,88
2020-04-26,104
2020-04-27,107
2020-04-28,110
2020-04-29,110
2020-04-30,116
2020-05-01,103
2020-05-02,132
2020-05-03,130
2020-05-04,136
2020-05-05,147
2020-05-06,151
2020-05-07,178
2020-05-08,184
2020-05-09,178
2020-05-10,188
2020-05-11,200
2020-05-12,207
2020-05-13,226
2020-05-14,246
2020-05-15,257
2020-05-16,241
2020-05-17,241
2020-05-18,240
2020-05-19,247
2020-05-20,261
2020-05-21,258
2020-05-22,264
2020-05-23,226
2020-05-24,222
2020-05-25,232
2020-05-26,231
2020-05-27,231
2020-05-28,231
2020-05-29,246
2020-05-30,250
2020-05-31,238
2020-06-01,261
2020-06-02,224
2020-06-03,234
2020-06-04,258
2020-06-05,292
2020-06-06,297
2020-06-07,309
2020-06-08,296
2020-06-09,310
2020-06-10,316
2020-06-11,357
2020-06-12,397
2020-06-13,426
2020-06-14,443
2020-06-15,413
2020-06-16,420
2020-06-17,408
2020-06-18,439
2020-06-19,463
2020-06-20,478
2020-06-21,469
2020-06-22,517
2020-06-23,548
2020-06-24,512
2020-06-25,433
2020-06-26,449
2020-06-27,511
