Date,Total Coronavirus Cases
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,3
2020-03-11,5
2020-03-12,5
2020-03-13,7
2020-03-14,7
2020-03-15,12
2020-03-16,12
2020-03-17,33
2020-03-18,37
2020-03-19,37
2020-03-20,51
2020-03-21,53
2020-03-22,84
2020-03-23,87
2020-03-24,91
2020-03-25,96
2020-03-26,98
2020-03-27,99
2020-03-28,99
2020-03-29,103
2020-03-30,107
2020-03-31,109
2020-04-01,109
2020-04-02,110
2020-04-03,114
2020-04-04,114
2020-04-05,114
2020-04-06,114
2020-04-07,115
2020-04-08,117
2020-04-09,119
2020-04-10,119
2020-04-11,120
2020-04-12,122
2020-04-13,122
2020-04-14,122
2020-04-15,122
2020-04-16,122
2020-04-17,122
2020-04-18,122
2020-04-19,122
2020-04-20,122
2020-04-21,122
2020-04-22,122
2020-04-23,122
2020-04-24,122
2020-04-25,122
2020-04-26,122
2020-04-27,122
2020-04-28,122
2020-04-29,122
2020-04-30,122
2020-05-01,122
2020-05-02,122
2020-05-03,122
2020-05-04,122
2020-05-05,122
2020-05-06,122
2020-05-07,122
2020-05-08,122
2020-05-09,122
2020-05-10,122
2020-05-11,122
2020-05-12,122
2020-05-13,122
2020-05-14,122
2020-05-15,122
2020-05-16,122
2020-05-17,122
2020-05-18,122
2020-05-19,122
2020-05-20,122
2020-05-21,123
2020-05-22,123
2020-05-23,124
2020-05-24,124
2020-05-25,124
2020-05-26,124
2020-05-27,124
2020-05-28,124
2020-05-29,124
2020-05-30,125
2020-05-31,125
2020-06-01,125
2020-06-02,125
2020-06-03,125
2020-06-04,125
2020-06-05,125
2020-06-06,125
2020-06-07,126
2020-06-08,126
2020-06-09,126
2020-06-10,126
2020-06-11,126
2020-06-12,126
2020-06-13,126
2020-06-14,128
2020-06-15,128
2020-06-16,128
2020-06-17,128
2020-06-18,129
2020-06-19,129
2020-06-20,129
2020-06-21,129
