Date,New Daily Coronavirus Cases+Cured
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,0
2020-03-02,3
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,2
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,0
2020-03-19,-1
2020-03-20,3
2020-03-21,0
2020-03-22,0
2020-03-23,306
2020-03-24,-208
2020-03-25,73
2020-03-26,43
2020-03-27,126
2020-03-28,42
2020-03-29,177
2020-03-30,520
2020-03-31,149
2020-04-01,494
2020-04-02,243
2020-04-03,207
2020-04-04,409
2020-04-05,347
2020-04-06,674
2020-04-07,412
2020-04-08,520
2020-04-09,763
2020-04-10,702
2020-04-11,415
2020-04-12,744
2020-04-13,584
2020-04-14,479
2020-04-15,744
2020-04-16,750
2020-04-17,814
2020-04-18,664
2020-04-19,636
2020-04-20,743
2020-04-21,602
2020-04-22,798
2020-04-23,775
2020-04-24,708
2020-04-25,956
2020-04-26,896
