Date,Total Coronavirus Cases
2020-02-15,8
2020-02-16,8
2020-02-17,8
2020-02-18,8
2020-02-19,8
2020-02-20,8
2020-02-21,9
2020-02-22,9
2020-02-23,10
2020-02-24,11
2020-02-25,11
2020-02-26,12
2020-02-27,14
2020-02-28,15
2020-02-29,20
2020-03-01,24
2020-03-02,27
2020-03-03,30
2020-03-04,34
2020-03-05,37
2020-03-06,54
2020-03-07,60
2020-03-08,66
2020-03-09,77
2020-03-10,95
2020-03-11,110
2020-03-12,142
2020-03-13,198
2020-03-14,252
2020-03-15,341
2020-03-16,441
2020-03-17,598
2020-03-18,727
2020-03-19,873
2020-03-20,1087
2020-03-21,1328
2020-03-22,1470
2020-03-23,2091
2020-03-24,2792
2020-03-25,3409
2020-03-26,4043
2020-03-27,4757
2020-03-28,5655
2020-03-29,6320
2020-03-30,7448
2020-03-31,8612
2020-04-01,9731
2020-04-02,11283
2020-04-03,12375
2020-04-04,13912
2020-04-05,15512
2020-04-06,16667
2020-04-07,17897
2020-04-08,19438
2020-04-09,20765
2020-04-10,22148
2020-04-11,23318
2020-04-12,24383
2020-04-13,25680
2020-04-14,27063
2020-04-15,28379
2020-04-16,30106
2020-04-17,31927
2020-04-18,33383
2020-04-19,35056
2020-04-20,36829
2020-04-21,38422
2020-04-22,40190
2020-04-23,42110
2020-04-24,43888
2020-04-25,45354
2020-04-26,46895
2020-04-27,48500
2020-04-28,50026
2020-04-29,51597
2020-04-30,53236
2020-05-01,55061
2020-05-02,56714
2020-05-03,59474
2020-05-04,60772
2020-05-05,62046
2020-05-06,63496
2020-05-07,64922
2020-05-08,66434
2020-05-09,67702
2020-05-10,68848
2020-05-11,69981
2020-05-12,71157
2020-05-13,72278
2020-05-14,73401
2020-05-15,74613
2020-05-16,75864
2020-05-17,77002
2020-05-18,78072
2020-05-19,79112
2020-05-20,80142
2020-05-21,81324
2020-05-22,82480
2020-05-23,83621
2020-05-24,84699
2020-05-25,85711
2020-05-26,86647
2020-05-27,87519
2020-05-28,88512
2020-05-29,89418
2020-05-30,90190
2020-05-31,90947
2020-06-01,91705
2020-06-02,92410
2020-06-03,93085
2020-06-04,93726
2020-06-05,94335
2020-06-06,95057
2020-06-07,95699
2020-06-08,96244
2020-06-09,96653
2020-06-10,97125
2020-06-11,97530
2020-06-12,97943
2020-06-13,98410
2020-06-14,98787
2020-06-15,99147
2020-06-16,99467
2020-06-17,99853
2020-06-18,100220
2020-06-19,100629
2020-06-20,101019
2020-06-21,101337
2020-06-22,101637
2020-06-23,101963
2020-06-24,102242
2020-06-25,102622
2020-06-26,102794
2020-06-27,103032
