Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,1.0
2020-02-22,0.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,2.0
2020-02-28,1.0
2020-02-29,5.0
2020-03-01,4.0
2020-03-02,3.0
2020-03-03,3.0
2020-03-04,4.0
2020-03-05,3.0
2020-03-06,17.0
2020-03-07,6.0
2020-03-08,6.0
2020-03-09,11.0
2020-03-10,18.0
2020-03-11,15.0
2020-03-12,32.0
2020-03-13,56.0
2020-03-14,54.0
2020-03-15,89.0
2020-03-16,100.0
2020-03-17,157.0
2020-03-18,129.0
2020-03-19,146.0
2020-03-20,214.0
2020-03-21,241.0
2020-03-22,142.0
2020-03-23,621.0
2020-03-24,701.0
2020-03-25,617.0
2020-03-26,634.0
2020-03-27,714.0
2020-03-28,898.0
2020-03-29,665.0
2020-03-30,1128.0
2020-03-31,1164.0
2020-04-01,1119.0
2020-04-02,1552.0
2020-04-03,1092.0
2020-04-04,1537.0
2020-04-05,1600.0
2020-04-06,1155.0
2020-04-07,1230.0
2020-04-08,1541.0
2020-04-09,1327.0
2020-04-10,1383.0
2020-04-11,1170.0
2020-04-12,1065.0
2020-04-13,1297.0
2020-04-14,1383.0
2020-04-15,1316.0
2020-04-16,1727.0
2020-04-17,1821.0
2020-04-18,1456.0
2020-04-19,1673.0
2020-04-20,1773.0
2020-04-21,1593.0
2020-04-22,1768.0
2020-04-23,1920.0
2020-04-24,1778.0
2020-04-25,1466.0
2020-04-26,1541.0
