Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,3.0
2020-03-17,4.0
2020-03-18,1.0
2020-03-19,3.0
2020-03-20,0.0
2020-03-21,7.0
2020-03-22,1.0
2020-03-23,4.0
2020-03-24,2.0
2020-03-25,10.0
2020-03-26,3.0
2020-03-27,16.0
2020-03-28,5.0
2020-03-29,5.0
2020-03-30,24.0
2020-03-31,12.0
2020-04-01,13.0
2020-04-02,59.0
2020-04-03,35.0
2020-04-04,23.0
2020-04-05,49.0
2020-04-06,43.0
2020-04-07,58.0
2020-04-08,46.0
2020-04-09,82.0
2020-04-10,60.0
2020-04-11,84.0
2020-04-12,64.0
2020-04-13,63.0
2020-04-14,123.0
2020-04-15,107.0
2020-04-16,185.0
2020-04-17,115.0
2020-04-18,160.0
2020-04-19,117.0
2020-04-20,103.0
2020-04-21,144.0
2020-04-22,140.0
2020-04-23,173.0
2020-04-24,155.0
2020-04-25,163.0
2020-04-26,95.0
2020-04-27,147.0
2020-04-28,152.0
2020-04-29,137.0
2020-04-30,188.0
2020-05-01,207.0
2020-05-02,175.0
2020-05-03,116.0
2020-05-04,172.0
2020-05-05,189.0
2020-05-06,189.0
2020-05-07,176.0
2020-05-08,161.0
2020-05-09,124.0
2020-05-10,177.0
2020-05-11,123.0
2020-05-12,176.0
2020-05-13,133.0
