Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,2.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,5.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,3.0
2020-04-14,0.0
2020-04-15,1.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,2.0
2020-04-22,2.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,25.0
2020-04-27,9.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,22.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,13.0
2020-05-05,0.0
2020-05-06,9.0
2020-05-07,0.0
2020-05-08,49.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,158.0
2020-05-16,26.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,39.0
2020-05-20,52.0
2020-05-21,18.0
2020-05-22,43.0
2020-05-23,73.0
2020-05-24,52.0
2020-05-25,48.0
2020-05-26,19.0
2020-05-27,31.0
2020-05-28,53.0
2020-05-29,119.0
2020-05-30,88.0
2020-05-31,49.0
2020-06-01,58.0
2020-06-02,0.0
2020-06-03,104.0
2020-06-04,115.0
2020-06-05,163.0
2020-06-06,119.0
2020-06-07,64.0
2020-06-08,216.0
2020-06-09,0.0
2020-06-10,38.0
2020-06-11,64.0
2020-06-12,92.0
2020-06-13,13.0
2020-06-14,0.0
2020-06-15,165.0
2020-06-16,188.0
2020-06-17,154.0
2020-06-18,41.0
2020-06-19,0.0
2020-06-20,81.0
2020-06-21,122.0
2020-06-22,155.0
2020-06-23,88.0
2020-06-24,48.0
2020-06-25,145.0
2020-06-26,96.0
2020-06-27,89.0
