Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,3
2020-03-30,5
2020-03-31,7
2020-04-01,7
2020-04-02,8
2020-04-03,8
2020-04-04,9
2020-04-05,9
2020-04-06,9
2020-04-07,8
2020-04-08,8
2020-04-09,9
2020-04-10,9
2020-04-11,9
2020-04-12,16
2020-04-13,21
2020-04-14,21
2020-04-15,21
2020-04-16,22
2020-04-17,22
2020-04-18,25
2020-04-19,25
2020-04-20,25
2020-04-21,25
2020-04-22,25
2020-04-23,25
2020-04-24,32
2020-04-25,31
2020-04-26,31
2020-04-27,31
2020-04-28,31
2020-04-29,31
2020-04-30,35
2020-05-01,35
2020-05-02,68
2020-05-03,68
2020-05-04,68
2020-05-05,110
2020-05-06,110
2020-05-07,176
2020-05-08,182
2020-05-09,238
2020-05-10,238
2020-05-11,238
2020-05-12,241
2020-05-13,252
2020-05-14,270
2020-05-15,292
2020-05-16,313
2020-05-17,333
2020-05-18,349
2020-05-19,350
2020-05-20,331
2020-05-21,344
2020-05-22,357
