Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,2
2020-03-11,2
2020-03-12,3
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,6
2020-03-17,6
2020-03-18,7
2020-03-19,11
2020-03-20,12
2020-03-21,32
2020-03-22,32
2020-03-23,36
2020-03-24,36
2020-03-25,46
2020-03-26,66
2020-03-27,88
2020-03-28,97
2020-03-29,108
2020-03-30,141
2020-03-31,141
2020-04-01,172
2020-04-02,193
2020-04-03,232
2020-04-04,262
2020-04-05,309
2020-04-06,323
2020-04-07,335
2020-04-08,351
2020-04-09,361
2020-04-10,398
2020-04-11,407
2020-04-12,431
2020-04-13,436
2020-04-14,440
2020-04-15,447
2020-04-16,457
2020-04-17,470
2020-04-18,484
2020-04-19,488
2020-04-20,488
2020-04-21,496
2020-04-22,498
2020-04-23,521
2020-04-24,523
2020-04-25,525
2020-04-26,525
2020-04-27,525
2020-04-28,530
2020-04-29,537
2020-04-30,537
2020-05-01,538
2020-05-02,544
2020-05-03,544
2020-05-04,544
2020-05-05,545
2020-05-06,545
2020-05-07,545
2020-05-08,545
2020-05-09,545
2020-05-10,545
2020-05-11,546
2020-05-12,547
2020-05-13,548
