Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,2
2020-03-11,2
2020-03-12,3
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,6
2020-03-17,6
2020-03-18,7
2020-03-19,11
2020-03-20,12
2020-03-21,32
2020-03-22,32
2020-03-23,36
2020-03-24,36
2020-03-25,46
2020-03-26,65
2020-03-27,87
2020-03-28,96
2020-03-29,106
2020-03-30,139
2020-03-31,138
2020-04-01,169
2020-04-02,190
2020-04-03,215
2020-04-04,244
2020-04-05,276
2020-04-06,289
2020-04-07,294
2020-04-08,305
2020-04-09,313
2020-04-10,349
2020-04-11,350
2020-04-12,374
2020-04-13,379
2020-04-14,379
2020-04-15,363
2020-04-16,365
2020-04-17,377
2020-04-18,390
2020-04-19,394
2020-04-20,391
2020-04-21,216
2020-04-22,185
2020-04-23,197
2020-04-24,194
2020-04-25,158
2020-04-26,158
2020-04-27,138
2020-04-28,142
2020-04-29,113
2020-04-30,111
2020-05-01,92
2020-05-02,98
2020-05-03,98
2020-05-04,98
2020-05-05,99
2020-05-06,99
2020-05-07,75
2020-05-08,57
2020-05-09,57
2020-05-10,57
2020-05-11,53
2020-05-12,50
2020-05-13,49
2020-05-14,50
2020-05-15,49
2020-05-16,53
2020-05-17,53
2020-05-18,37
2020-05-19,32
2020-05-20,21
2020-05-21,5
2020-05-22,5
2020-05-23,5
2020-05-24,-4
2020-05-25,-3
2020-05-26,2
2020-05-27,3
2020-05-28,3
2020-05-29,3
2020-05-30,1
2020-05-31,0
2020-06-01,-13
2020-06-02,-14
2020-06-03,3
2020-06-04,3
2020-06-05,3
2020-06-06,5
2020-06-07,5
2020-06-08,6
2020-06-09,5
2020-06-10,5
2020-06-11,5
2020-06-12,5
2020-06-13,5
2020-06-14,5
2020-06-15,8
2020-06-16,8
2020-06-17,10
2020-06-18,10
2020-06-19,10
2020-06-20,10
2020-06-21,10
