Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,6.0
2020-03-21,2.0
2020-03-22,0.0
2020-03-23,3.0
2020-03-24,6.0
2020-03-25,5.0
2020-03-26,0.0
2020-03-27,21.0
2020-03-28,18.0
2020-03-29,14.0
2020-03-30,81.0
2020-03-31,0.0
2020-04-01,78.0
2020-04-02,101.0
2020-04-03,92.0
2020-04-04,101.0
2020-04-05,90.0
2020-04-06,110.0
2020-04-07,170.0
2020-04-08,217.0
2020-04-09,159.0
2020-04-10,297.0
2020-04-11,293.0
2020-04-12,195.0
2020-04-13,308.0
2020-04-14,279.0
2020-04-15,291.0
2020-04-16,362.0
2020-04-17,322.0
2020-04-18,414.0
2020-04-19,303.0
2020-04-20,338.0
2020-04-21,293.0
2020-04-22,417.0
2020-04-23,418.0
2020-04-24,523.0
2020-04-25,419.0
2020-04-26,278.0
2020-04-27,303.0
2020-04-28,383.0
2020-04-29,347.0
2020-04-30,523.0
2020-05-01,438.0
2020-05-02,554.0
2020-05-03,469.0
2020-05-04,374.0
2020-05-05,295.0
2020-05-06,479.0
2020-05-07,475.0
2020-05-08,496.0
2020-05-09,507.0
2020-05-10,445.0
2020-05-11,493.0
2020-05-12,520.0
2020-05-13,740.0
2020-05-14,790.0
2020-05-15,959.0
2020-05-16,1400.0
2020-05-17,1199.0
2020-05-18,952.0
2020-05-19,1342.0
2020-05-20,997.0
2020-05-21,1488.0
2020-05-22,1350.0
