Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,2.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,2.0
2020-03-08,4.0
2020-03-09,4.0
2020-03-10,5.0
2020-03-11,7.0
2020-03-12,12.0
2020-03-13,12.0
2020-03-14,21.0
2020-03-15,16.0
2020-03-16,95.0
2020-03-17,53.0
2020-03-18,43.0
2020-03-19,122.0
2020-03-20,108.0
2020-03-21,121.0
2020-03-22,111.0
2020-03-23,133.0
2020-03-24,206.0
2020-03-25,257.0
2020-03-26,192.0
2020-03-27,356.0
2020-03-28,350.0
2020-03-29,269.0
2020-03-30,363.0
2020-03-31,338.0
2020-04-01,343.0
2020-04-02,437.0
2020-04-03,390.0
2020-04-04,496.0
2020-04-05,363.0
2020-04-06,403.0
2020-04-07,352.0
2020-04-08,503.0
2020-04-09,499.0
2020-04-10,619.0
2020-04-11,499.0
2020-04-12,335.0
2020-04-13,365.0
2020-04-14,459.0
2020-04-15,417.0
2020-04-16,625.0
2020-04-17,521.0
2020-04-18,559.0
2020-04-19,419.0
2020-04-20,490.0
2020-04-21,380.0
2020-04-22,543.0
2020-04-23,604.0
2020-04-24,578.0
2020-04-25,646.0
2020-04-26,554.0
2020-04-27,564.0
2020-04-28,646.0
2020-04-29,609.0
2020-04-30,1332.0
2020-05-01,1153.0
2020-05-02,1670.0
2020-05-03,1437.0
2020-05-04,1147.0
2020-05-05,1607.0
2020-05-06,1208.0
2020-05-07,1794.0
2020-05-08,1628.0
2020-05-09,1459.0
2020-05-10,1928.0
2020-05-11,1401.0
2020-05-12,1940.0
2020-05-13,3113.0
2020-05-14,3112.0
2020-05-15,2928.0
2020-05-16,2207.0
2020-05-17,2754.0
2020-05-18,2666.0
2020-05-19,4120.0
2020-05-20,4726.0
2020-05-21,4639.0
2020-05-22,5004.0
2020-05-23,4138.0
2020-05-24,4341.0
2020-05-25,5729.0
2020-05-26,4639.0
2020-05-27,5065.0
2020-05-28,5447.0
2020-05-29,4324.0
2020-05-30,4939.0
2020-05-31,5653.0
2020-06-01,6403.0
2020-06-02,4128.0
2020-06-03,5784.0
2020-06-04,5459.0
2020-06-05,4924.0
2020-06-06,6140.0
2020-06-07,7496.0
2020-06-08,5496.0
2020-06-09,4580.0
2020-06-10,6714.0
2020-06-11,6549.0
2020-06-12,7905.0
2020-06-13,7618.0
2020-06-14,8120.0
2020-06-15,6019.0
2020-06-16,5865.0
2020-06-17,4757.0
2020-06-18,4475.0
2020-06-19,6290.0
2020-06-20,5355.0
2020-06-21,5607.0
