Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,1.0
2020-02-17,3.0
2020-02-18,2.0
2020-02-19,3.0
2020-02-20,4.0
2020-02-21,0.0
2020-02-22,1.0
2020-02-23,4.0
2020-02-24,7.0
2020-02-25,4.0
2020-02-26,4.0
2020-02-27,3.0
2020-02-28,1.0
2020-02-29,2.0
2020-03-01,5.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,2.0
2020-03-05,2.0
2020-03-06,3.0
2020-03-07,0.0
2020-03-08,7.0
2020-03-09,1.0
2020-03-10,5.0
2020-03-11,9.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-14,10.0
2020-03-15,7.0
2020-03-16,6.0
2020-03-17,13.0
2020-03-18,25.0
2020-03-19,15.0
2020-03-20,48.0
2020-03-21,18.0
2020-03-22,44.0
2020-03-23,39.0
2020-03-24,30.0
2020-03-25,24.0
2020-03-26,43.0
2020-03-27,65.0
2020-03-28,41.0
2020-03-29,82.0
2020-03-30,41.0
2020-03-31,32.0
2020-04-01,51.0
2020-04-02,36.0
2020-04-03,43.0
2020-04-04,17.0
2020-04-05,29.0
2020-04-06,24.0
2020-04-07,21.0
2020-04-08,25.0
2020-04-09,13.0
2020-04-10,16.0
2020-04-11,11.0
2020-04-12,4.0
2020-04-13,5.0
2020-04-14,3.0
2020-04-15,4.0
2020-04-16,1.0
2020-04-17,4.0
2020-04-18,2.0
2020-04-19,2.0
2020-04-20,0.0
2020-04-21,4.0
2020-04-22,4.0
2020-04-23,2.0
2020-04-24,0.0
2020-04-25,2.0
2020-04-26,0.0
