Date,Novel Coronavirus Daily Deaths
2020-01-22,
2020-01-23,8.0
2020-01-24,16.0
2020-01-25,15.0
2020-01-26,24.0
2020-01-27,26.0
2020-01-28,26.0
2020-01-29,38.0
2020-01-30,43.0
2020-01-31,46.0
2020-02-01,45.0
2020-02-02,57.0
2020-02-03,64.0
2020-02-04,65.0
2020-02-05,73.0
2020-02-06,73.0
2020-02-07,86.0
2020-02-08,89.0
2020-02-09,97.0
2020-02-10,108.0
2020-02-11,97.0
2020-02-12,146.0
2020-02-13,121.0
2020-02-14,143.0
2020-02-15,142.0
2020-02-16,105.0
2020-02-17,98.0
2020-02-18,136.0
2020-02-19,114.0
2020-02-20,118.0
2020-02-21,109.0
2020-02-22,97.0
2020-02-23,150.0
2020-02-24,71.0
2020-02-25,52.0
2020-02-26,29.0
2020-02-27,44.0
2020-02-28,47.0
2020-02-29,35.0
2020-03-01,42.0
2020-03-02,31.0
2020-03-03,38.0
2020-03-04,31.0
2020-03-05,30.0
2020-03-06,28.0
2020-03-07,27.0
2020-03-08,22.0
2020-03-09,17.0
2020-03-10,22.0
2020-03-11,11.0
2020-03-12,7.0
2020-03-13,13.0
2020-03-14,10.0
2020-03-15,14.0
2020-03-16,13.0
2020-03-17,11.0
2020-03-18,8.0
2020-03-19,3.0
2020-03-20,7.0
2020-03-21,6.0
2020-03-22,9.0
2020-03-23,7.0
2020-03-24,4.0
2020-03-25,6.0
2020-03-26,5.0
2020-03-27,3.0
2020-03-28,5.0
2020-03-29,0.0
2020-03-30,5.0
2020-03-31,7.0
2020-04-01,6.0
2020-04-02,4.0
2020-04-03,4.0
2020-04-04,3.0
2020-04-05,2.0
2020-04-06,0.0
2020-04-07,2.0
2020-04-08,2.0
2020-04-09,1.0
2020-04-10,3.0
2020-04-11,0.0
2020-04-12,2.0
2020-04-13,0.0
2020-04-14,1.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,1290.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,1.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
