Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,3
2020-03-10,3
2020-03-11,9
2020-03-12,9
2020-03-13,16
2020-03-14,24
2020-03-15,34
2020-03-16,54
2020-03-17,65
2020-03-18,93
2020-03-19,108
2020-03-20,145
2020-03-21,196
2020-03-22,231
2020-03-23,277
2020-03-24,378
2020-03-25,470
2020-03-26,491
2020-03-27,539
2020-03-28,608
2020-03-29,702
2020-03-30,798
2020-03-31,906
2020-04-01,1065
2020-04-02,1161
2020-04-03,1267
2020-04-04,1406
2020-04-05,1485
2020-04-06,1579
2020-04-07,1780
2020-04-08,2054
2020-04-09,2223
2020-04-10,2473
2020-04-11,2709
2020-04-12,2776
2020-04-13,2852
2020-04-14,2979
2020-04-15,3105
2020-04-16,3233
2020-04-17,3439
2020-04-18,3621
2020-04-19,3792
2020-04-20,3977
2020-04-21,4149
2020-04-22,4356
2020-04-23,4561
2020-04-24,4881
2020-04-25,5142
2020-04-26,5379
2020-04-27,5597
2020-04-28,5949
2020-04-29,6207
2020-04-30,6507
2020-05-01,7006
2020-05-02,7285
2020-05-03,7668
2020-05-04,7973
2020-05-05,8613
2020-05-06,8959
2020-05-07,9456
2020-05-08,10051
2020-05-09,10495
