Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,8.0
2020-03-09,0.0
2020-03-10,4.0
2020-03-11,9.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,4.0
2020-03-15,8.0
2020-03-16,6.0
2020-03-17,9.0
2020-03-18,19.0
2020-03-19,18.0
2020-03-20,26.0
2020-03-21,4.0
2020-03-22,17.0
2020-03-23,24.0
2020-03-24,19.0
2020-03-25,24.0
2020-03-26,30.0
2020-03-27,32.0
2020-03-28,32.0
2020-03-29,19.0
2020-03-30,16.0
2020-03-31,17.0
2020-04-01,28.0
2020-04-02,21.0
2020-04-03,20.0
2020-04-04,19.0
2020-04-05,19.0
2020-04-06,13.0
2020-04-07,16.0
2020-04-08,19.0
2020-04-09,37.0
2020-04-10,19.0
2020-04-11,19.0
2020-04-12,18.0
2020-04-13,17.0
2020-04-14,6.0
2020-04-15,8.0
2020-04-16,16.0
2020-04-17,7.0
2020-04-18,6.0
2020-04-19,5.0
2020-04-20,2.0
2020-04-21,7.0
2020-04-22,12.0
2020-04-23,5.0
2020-04-24,1.0
2020-04-25,6.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,8.0
2020-04-29,8.0
2020-04-30,6.0
2020-05-01,6.0
2020-05-02,8.0
2020-05-03,6.0
2020-05-04,3.0
2020-05-05,13.0
2020-05-06,6.0
2020-05-07,4.0
2020-05-08,8.0
2020-05-09,7.0
2020-05-10,12.0
2020-05-11,9.0
2020-05-12,3.0
2020-05-13,11.0
