Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,2
2020-03-15,4
2020-03-16,4
2020-03-17,4
2020-03-18,8
2020-03-19,8
2020-03-20,8
2020-03-21,13
2020-03-22,13
2020-03-23,23
2020-03-24,71
2020-03-25,77
2020-03-26,93
2020-03-27,98
2020-03-28,98
2020-03-29,160
2020-03-30,161
2020-03-31,171
2020-04-01,180
2020-04-02,178
2020-04-03,198
2020-04-04,219
2020-04-05,221
2020-04-06,279
2020-04-07,305
2020-04-08,333
2020-04-09,389
2020-04-10,423
2020-04-11,471
2020-04-12,484
2020-04-13,531
2020-04-14,518
2020-04-15,502
2020-04-16,502
2020-04-17,489
2020-04-18,554
2020-04-19,578
2020-04-20,582
2020-04-21,600
2020-04-22,628
2020-04-23,631
2020-04-24,644
2020-04-25,644
2020-04-26,668
