Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,3
2020-03-27,3
2020-03-28,5
2020-03-29,6
2020-03-30,6
2020-03-31,6
2020-04-01,6
2020-04-02,7
2020-04-03,8
2020-04-04,12
2020-04-05,15
2020-04-06,16
2020-04-07,18
2020-04-08,19
2020-04-09,20
2020-04-10,21
2020-04-11,21
2020-04-12,23
2020-04-13,25
2020-04-14,31
2020-04-15,33
2020-04-16,35
2020-04-17,36
2020-04-18,39
2020-04-19,47
2020-04-20,47
2020-04-21,48
2020-04-22,48
2020-04-23,50
2020-04-24,51
2020-04-25,54
2020-04-26,55
2020-04-27,59
2020-04-28,63
2020-04-29,67
2020-04-30,69
2020-05-01,75
2020-05-02,77
2020-05-03,79
2020-05-04,80
2020-05-05,83
2020-05-06,85
2020-05-07,86
2020-05-08,86
2020-05-09,87
