Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,2.0
2020-02-27,0.0
2020-02-28,2.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,1.0
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,2.0
2020-03-11,4.0
2020-03-12,8.0
2020-03-13,5.0
2020-03-14,7.0
2020-03-15,10.0
2020-03-16,8.0
2020-03-17,12.0
2020-03-18,20.0
2020-03-19,21.0
2020-03-20,20.0
2020-03-21,76.0
2020-03-22,48.0
2020-03-23,61.0
2020-03-24,67.0
2020-03-25,60.0
2020-03-26,53.0
2020-03-27,91.0
2020-03-28,71.0
2020-03-29,56.0
2020-03-30,77.0
2020-03-31,77.0
2020-04-01,96.0
2020-04-02,48.0
2020-04-03,68.0
2020-04-04,47.0
2020-04-05,56.0
2020-04-06,40.0
2020-04-07,60.0
2020-04-08,61.0
2020-04-09,64.0
2020-04-10,88.0
2020-04-11,39.0
2020-04-12,66.0
2020-04-13,50.0
2020-04-14,54.0
2020-04-15,37.0
2020-04-16,50.0
2020-04-17,23.0
2020-04-18,18.0
2020-04-19,39.0
2020-04-20,10.0
2020-04-21,27.0
2020-04-22,42.0
2020-04-23,31.0
2020-04-24,28.0
2020-04-25,7.0
2020-04-26,14.0
