Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,2
2020-03-27,2
2020-03-28,3
2020-03-29,3
2020-03-30,4
2020-03-31,6
2020-04-01,6
2020-04-02,6
2020-04-03,6
2020-04-04,6
2020-04-05,8
2020-04-06,9
2020-04-07,11
2020-04-08,12
2020-04-09,15
2020-04-10,15
2020-04-11,16
2020-04-12,18
2020-04-13,21
2020-04-14,21
2020-04-15,24
2020-04-16,27
2020-04-17,31
2020-04-18,32
2020-04-19,34
2020-04-20,36
2020-04-21,38
2020-04-22,40
2020-04-23,43
2020-04-24,49
2020-04-25,51
2020-04-26,54
2020-04-27,56
2020-04-28,58
2020-04-29,58
2020-04-30,61
2020-05-01,64
2020-05-02,66
2020-05-03,67
2020-05-04,69
2020-05-05,69
2020-05-06,69
2020-05-07,73
2020-05-08,74
2020-05-09,74
2020-05-10,77
2020-05-11,77
2020-05-12,78
2020-05-13,79
2020-05-14,79
2020-05-15,79
2020-05-16,79
2020-05-17,79
2020-05-18,79
2020-05-19,79
2020-05-20,79
2020-05-21,80
2020-05-22,81
