Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,4
2020-03-15,4
2020-03-16,4
2020-03-17,7
2020-03-18,9
2020-03-19,10
2020-03-20,20
2020-03-21,20
2020-03-22,34
2020-03-23,39
2020-03-24,46
2020-03-25,55
2020-03-26,64
2020-03-27,74
2020-03-28,112
2020-03-29,132
2020-03-30,162
2020-03-31,172
2020-04-01,194
2020-04-02,214
2020-04-03,248
2020-04-04,267
2020-04-05,297
2020-04-06,323
2020-04-07,358
2020-04-08,418
2020-04-09,472
2020-04-10,498
2020-04-11,527
2020-04-12,559
2020-04-13,584
2020-04-14,613
2020-04-15,639
2020-04-16,664
2020-04-17,700
2020-04-18,727
2020-04-19,746
2020-04-20,766
2020-04-21,790
2020-04-22,808
2020-04-23,827
2020-04-24,820
2020-04-25,849
2020-04-26,814
