Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,0.0
2020-03-11,4.0
2020-03-12,4.0
2020-03-13,4.0
2020-03-14,12.0
2020-03-15,7.0
2020-03-16,13.0
2020-03-17,3.0
2020-03-18,9.0
2020-03-19,9.0
2020-03-20,8.0
2020-03-21,9.0
2020-03-22,11.0
2020-03-23,21.0
2020-03-24,8.0
2020-03-25,8.0
2020-03-26,14.0
2020-03-27,16.0
2020-03-28,17.0
2020-03-29,35.0
2020-03-30,16.0
2020-03-31,32.0
2020-04-01,58.0
2020-04-02,36.0
2020-04-03,40.0
2020-04-04,30.0
2020-04-05,20.0
2020-04-06,19.0
2020-04-07,29.0
2020-04-08,32.0
2020-04-09,38.0
2020-04-10,31.0
2020-04-11,21.0
2020-04-12,17.0
2020-04-13,29.0
2020-04-14,33.0
2020-04-15,20.0
2020-04-16,20.0
2020-04-17,15.0
2020-04-18,11.0
2020-04-19,6.0
2020-04-20,5.0
2020-04-21,12.0
2020-04-22,6.0
2020-04-23,5.0
2020-04-24,9.0
2020-04-25,6.0
2020-04-26,7.0
