Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,1
2020-03-24,3
2020-03-25,6
2020-03-26,9
2020-03-27,9
2020-03-28,11
2020-03-29,16
2020-03-30,23
2020-03-31,31
2020-04-01,39
2020-04-02,44
2020-04-03,53
2020-04-04,59
2020-04-05,67
2020-04-06,78
2020-04-07,88
2020-04-08,99
2020-04-09,112
2020-04-10,119
2020-04-11,129
2020-04-12,138
2020-04-13,143
2020-04-14,161
2020-04-15,166
2020-04-16,169
2020-04-17,173
2020-04-18,181
2020-04-19,186
2020-04-20,194
2020-04-21,201
2020-04-22,208
2020-04-23,210
2020-04-24,214
2020-04-25,218
2020-04-26,220
