Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,3
2020-03-17,3
2020-03-18,7
2020-03-19,14
2020-03-20,18
2020-03-21,22
2020-03-22,29
2020-03-23,34
2020-03-24,43
2020-03-25,46
2020-03-26,48
2020-03-27,46
2020-03-28,57
2020-03-29,71
2020-03-30,71
2020-03-31,88
2020-04-01,97
2020-04-02,118
2020-04-03,129
2020-04-04,133
2020-04-05,133
2020-04-06,138
2020-04-07,153
2020-04-08,153
2020-04-09,153
2020-04-10,187
2020-04-11,187
2020-04-12,198
2020-04-13,198
2020-04-14,201
2020-04-15,212
2020-04-16,222
2020-04-17,239
2020-04-18,256
2020-04-19,276
2020-04-20,280
2020-04-21,290
2020-04-22,289
2020-04-23,305
2020-04-24,321
2020-04-25,339
2020-04-26,364
2020-04-27,381
2020-04-28,385
2020-04-29,402
2020-04-30,476
2020-05-01,497
2020-05-02,566
2020-05-03,566
2020-05-04,568
2020-05-05,581
2020-05-06,670
2020-05-07,724
2020-05-08,697
2020-05-09,768
2020-05-10,814
2020-05-11,842
2020-05-12,912
2020-05-13,971
2020-05-14,1035
2020-05-15,1036
2020-05-16,1124
2020-05-17,1124
2020-05-18,1205
2020-05-19,1278
2020-05-20,1368
2020-05-21,1471
2020-05-22,1570
2020-05-23,1650
2020-05-24,1761
2020-05-25,1893
2020-05-26,1995
2020-05-27,2113
2020-05-28,2210
2020-05-29,2364
2020-05-30,2469
2020-05-31,2550
2020-06-01,2669
2020-06-02,2772
2020-06-03,2928
2020-06-04,3071
2020-06-05,3171
2020-06-06,3259
2020-06-07,3394
2020-06-08,3481
2020-06-09,3630
2020-06-10,3729
2020-06-11,3850
2020-06-12,3956
2020-06-13,4023
2020-06-14,4071
2020-06-15,4112
2020-06-16,4234
2020-06-17,4345
2020-06-18,4481
2020-06-19,4636
2020-06-20,4740
2020-06-21,4855
