Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,2.0
2020-03-24,0.0
2020-03-25,8.0
2020-03-26,0.0
2020-03-27,1.0
2020-03-28,2.0
2020-03-29,4.0
2020-03-30,0.0
2020-03-31,12.0
2020-04-01,3.0
2020-04-02,7.0
2020-04-03,9.0
2020-04-04,1.0
2020-04-05,9.0
2020-04-06,31.0
2020-04-07,0.0
2020-04-08,45.0
2020-04-09,5.0
2020-04-10,10.0
2020-04-11,37.0
2020-04-12,27.0
2020-04-13,84.0
2020-04-14,65.0
2020-04-15,72.0
2020-04-16,156.0
2020-04-17,141.0
2020-04-18,0.0
2020-04-19,114.0
2020-04-20,0.0
2020-04-21,99.0
2020-04-22,29.0
2020-04-23,12.0
2020-04-24,13.0
2020-04-25,9.0
2020-04-26,15.0
2020-04-27,12.0
2020-04-28,37.0
2020-04-29,5.0
2020-04-30,12.0
2020-05-01,8.0
2020-05-02,15.0
2020-05-03,0.0
2020-05-04,4.0
2020-05-05,4.0
2020-05-06,4.0
2020-05-07,9.0
2020-05-08,2.0
2020-05-09,54.0
2020-05-10,21.0
2020-05-11,17.0
2020-05-12,29.0
2020-05-13,12.0
2020-05-14,16.0
2020-05-15,25.0
2020-05-16,22.0
2020-05-17,70.0
2020-05-18,117.0
2020-05-19,100.0
2020-05-20,210.0
2020-05-21,219.0
2020-05-22,223.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,198.0
2020-05-26,0.0
2020-05-27,229.0
2020-05-28,217.0
2020-05-29,0.0
2020-05-30,280.0
2020-05-31,160.0
2020-06-01,215.0
2020-06-02,210.0
2020-06-03,156.0
2020-06-04,119.0
2020-06-05,69.0
2020-06-06,46.0
2020-06-07,38.0
2020-06-08,71.0
2020-06-09,53.0
2020-06-10,42.0
2020-06-11,25.0
2020-06-12,43.0
2020-06-13,8.0
2020-06-14,16.0
2020-06-15,36.0
2020-06-16,38.0
2020-06-17,6.0
2020-06-18,12.0
2020-06-19,8.0
2020-06-20,0.0
2020-06-21,17.0
2020-06-22,17.0
2020-06-23,18.0
2020-06-24,13.0
2020-06-25,5.0
2020-06-26,8.0
2020-06-27,0.0
