Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,5
2020-03-09,5
2020-03-10,5
2020-03-11,5
2020-03-12,5
2020-03-13,5
2020-03-14,11
2020-03-15,11
2020-03-16,21
2020-03-17,21
2020-03-18,34
2020-03-19,34
2020-03-20,72
2020-03-21,112
2020-03-22,202
2020-03-23,245
2020-03-24,312
2020-03-25,392
2020-03-26,488
2020-03-27,581
2020-03-28,719
2020-03-29,859
2020-03-30,901
2020-03-31,1109
2020-04-01,1284
2020-04-02,1380
2020-04-03,1488
2020-04-04,1578
2020-04-05,1745
2020-04-06,1828
2020-04-07,1956
2020-04-08,2111
2020-04-09,2349
2020-04-10,2620
2020-04-11,2759
2020-04-12,2967
2020-04-13,3167
2020-04-14,3286
2020-04-15,3614
2020-04-16,3755
2020-04-17,4126
2020-04-18,4335
2020-04-19,4680
2020-04-20,4964
2020-04-21,5044
2020-04-22,5300
2020-04-23,5543
2020-04-24,5749
2020-04-25,5926
2020-04-26,6135
2020-04-27,6293
2020-04-28,6416
2020-04-29,6652
2020-04-30,6972
2020-05-01,7288
2020-05-02,7578
2020-05-03,7954
2020-05-04,8235
2020-05-05,8480
2020-05-06,8807
2020-05-07,9095
2020-05-08,9376
2020-05-09,9882
2020-05-10,10347
2020-05-11,10634
2020-05-12,10900
2020-05-13,11196
2020-05-14,11320
2020-05-15,11739
2020-05-16,12110
2020-05-17,12314
2020-05-18,12725
2020-05-19,13223
2020-05-20,13477
2020-05-21,13657
2020-05-22,13989
2020-05-23,14422
2020-05-24,14801
2020-05-25,15073
2020-05-26,15264
2020-05-27,15723
2020-05-28,16068
2020-05-29,16531
