Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,0.0
2020-03-18,1.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,1.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,3.0
2020-03-25,4.0
2020-03-26,0.0
2020-03-27,10.0
2020-03-28,8.0
2020-03-29,11.0
2020-03-30,3.0
2020-03-31,9.0
2020-04-01,6.0
2020-04-02,3.0
2020-04-03,8.0
2020-04-04,9.0
2020-04-05,5.0
2020-04-06,4.0
2020-04-07,12.0
2020-04-08,10.0
2020-04-09,10.0
2020-04-10,8.0
2020-04-11,9.0
2020-04-12,38.0
2020-04-13,4.0
2020-04-14,6.0
2020-04-15,6.0
2020-04-16,7.0
2020-04-17,4.0
2020-04-18,17.0
2020-04-19,9.0
2020-04-20,9.0
2020-04-21,10.0
2020-04-22,15.0
2020-04-23,5.0
2020-04-24,2.0
2020-04-25,6.0
2020-04-26,5.0
2020-04-27,4.0
2020-04-28,4.0
2020-04-29,7.0
2020-04-30,8.0
2020-05-01,12.0
2020-05-02,13.0
2020-05-03,7.0
2020-05-04,13.0
2020-05-05,8.0
2020-05-06,8.0
2020-05-07,11.0
2020-05-08,7.0
2020-05-09,5.0
2020-05-10,3.0
2020-05-11,5.0
2020-05-12,9.0
2020-05-13,7.0
2020-05-14,13.0
2020-05-15,2.0
2020-05-16,4.0
2020-05-17,0.0
2020-05-18,6.0
2020-05-19,7.0
2020-05-20,5.0
2020-05-21,2.0
2020-05-22,8.0
2020-05-23,2.0
2020-05-24,0.0
2020-05-25,2.0
2020-05-26,8.0
2020-05-27,6.0
2020-05-28,11.0
2020-05-29,3.0
