Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,1.0
2020-03-19,0.0
2020-03-20,4.0
2020-03-21,0.0
2020-03-22,7.0
2020-03-23,4.0
2020-03-24,9.0
2020-03-25,2.0
2020-03-26,5.0
2020-03-27,7.0
2020-03-28,7.0
2020-03-29,10.0
2020-03-30,4.0
2020-03-31,17.0
2020-04-01,19.0
2020-04-02,22.0
2020-04-03,25.0
2020-04-04,27.0
2020-04-05,8.0
2020-04-06,11.0
2020-04-07,29.0
2020-04-08,22.0
2020-04-09,30.0
2020-04-10,25.0
2020-04-11,18.0
2020-04-12,18.0
2020-04-13,22.0
2020-04-14,14.0
2020-04-15,19.0
2020-04-16,15.0
2020-04-17,18.0
2020-04-18,35.0
2020-04-19,18.0
2020-04-20,33.0
2020-04-21,13.0
2020-04-22,17.0
2020-04-23,23.0
2020-04-24,16.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,87.0
2020-04-28,208.0
2020-04-29,12.0
2020-04-30,17.0
2020-05-01,163.0
2020-05-02,308.0
2020-05-03,193.0
2020-05-04,5.0
2020-05-05,0.0
2020-05-06,49.0
2020-05-07,36.0
2020-05-08,50.0
2020-05-09,13.0
2020-05-10,410.0
2020-05-11,18.0
2020-05-12,182.0
2020-05-13,7.0
