Date,Total Coronavirus Cases
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,3
2020-03-06,15
2020-03-07,48
2020-03-08,55
2020-03-09,59
2020-03-10,59
2020-03-11,67
2020-03-12,80
2020-03-13,93
2020-03-14,110
2020-03-15,126
2020-03-16,166
2020-03-17,196
2020-03-18,210
2020-03-19,256
2020-03-20,285
2020-03-21,294
2020-03-22,327
2020-03-23,366
2020-03-24,402
2020-03-25,456
2020-03-26,495
2020-03-27,536
2020-03-28,576
2020-03-29,609
2020-03-30,656
2020-03-31,710
2020-04-01,779
2020-04-02,865
2020-04-03,985
2020-04-04,1070
2020-04-05,1173
2020-04-06,1322
2020-04-07,1450
2020-04-08,1560
2020-04-09,1699
2020-04-10,1794
2020-04-11,1939
2020-04-12,2065
2020-04-13,2190
2020-04-14,2350
2020-04-15,2505
2020-04-16,2673
2020-04-17,2844
2020-04-18,3032
2020-04-19,3144
2020-04-20,3333
2020-04-21,3490
2020-04-22,3659
2020-04-23,3891
2020-04-24,4092
2020-04-25,4319
2020-04-26,4534
2020-04-27,4782
2020-04-28,5042
2020-04-29,5268
2020-04-30,5537
2020-05-01,5895
2020-05-02,6193
2020-05-03,6465
2020-05-04,6813
2020-05-05,7201
2020-05-06,7588
2020-05-07,7981
2020-05-08,8476
2020-05-09,8964
2020-05-10,9400
2020-05-11,9746
2020-05-12,10093
2020-05-13,10431
2020-05-14,10829
2020-05-15,11228
2020-05-16,11719
2020-05-17,12229
2020-05-18,12764
2020-05-19,13484
2020-05-20,14229
2020-05-21,15003
2020-05-22,15786
