Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,4
2020-03-17,6
2020-03-18,6
2020-03-19,7
2020-03-20,8
2020-03-21,10
2020-03-22,14
2020-03-23,19
2020-03-24,20
2020-03-25,21
2020-03-26,24
2020-03-27,30
2020-03-28,36
2020-03-29,40
2020-03-30,41
2020-03-31,46
2020-04-01,52
2020-04-02,58
2020-04-03,66
2020-04-04,71
2020-04-05,78
2020-04-06,85
2020-04-07,94
2020-04-08,103
2020-04-09,118
2020-04-10,135
2020-04-11,146
2020-04-12,159
2020-04-13,164
2020-04-14,178
2020-04-15,183
2020-04-16,196
2020-04-17,205
2020-04-18,224
2020-04-19,239
2020-04-20,250
2020-04-21,264
2020-04-22,276
2020-04-23,287
2020-04-24,294
2020-04-25,307
2020-04-26,317
2020-04-27,337
2020-04-28,359
2020-04-29,380
2020-04-30,392
2020-05-01,406
2020-05-02,415
2020-05-03,429
2020-05-04,436
2020-05-05,452
2020-05-06,469
2020-05-07,482
2020-05-08,503
2020-05-09,514
2020-05-10,525
2020-05-11,533
2020-05-12,544
2020-05-13,556
2020-05-14,571
2020-05-15,592
2020-05-16,612
2020-05-17,630
2020-05-18,645
2020-05-19,659
2020-05-20,680
2020-05-21,696
2020-05-22,707
2020-05-23,735
2020-05-24,764
2020-05-25,783
2020-05-26,797
2020-05-27,816
2020-05-28,845
2020-05-29,879
