Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,1.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,12.0
2020-03-07,33.0
2020-03-08,7.0
2020-03-09,4.0
2020-03-10,0.0
2020-03-11,8.0
2020-03-12,13.0
2020-03-13,13.0
2020-03-14,17.0
2020-03-15,16.0
2020-03-16,40.0
2020-03-17,30.0
2020-03-18,14.0
2020-03-19,46.0
2020-03-20,29.0
2020-03-21,9.0
2020-03-22,33.0
2020-03-23,39.0
2020-03-24,36.0
2020-03-25,54.0
2020-03-26,39.0
2020-03-27,41.0
2020-03-28,40.0
2020-03-29,33.0
2020-03-30,47.0
2020-03-31,54.0
2020-04-01,69.0
2020-04-02,86.0
2020-04-03,120.0
2020-04-04,85.0
2020-04-05,103.0
2020-04-06,149.0
2020-04-07,128.0
2020-04-08,110.0
2020-04-09,139.0
2020-04-10,95.0
2020-04-11,145.0
2020-04-12,126.0
2020-04-13,125.0
2020-04-14,160.0
2020-04-15,155.0
2020-04-16,168.0
2020-04-17,171.0
2020-04-18,188.0
2020-04-19,112.0
2020-04-20,189.0
2020-04-21,157.0
2020-04-22,169.0
2020-04-23,232.0
2020-04-24,201.0
2020-04-25,227.0
2020-04-26,215.0
2020-04-27,248.0
2020-04-28,260.0
2020-04-29,226.0
2020-04-30,269.0
2020-05-01,358.0
2020-05-02,298.0
2020-05-03,272.0
2020-05-04,348.0
2020-05-05,388.0
2020-05-06,387.0
2020-05-07,393.0
2020-05-08,495.0
2020-05-09,488.0
2020-05-10,436.0
2020-05-11,346.0
2020-05-12,347.0
2020-05-13,338.0
2020-05-14,398.0
2020-05-15,399.0
2020-05-16,491.0
2020-05-17,510.0
2020-05-18,535.0
2020-05-19,720.0
2020-05-20,745.0
2020-05-21,774.0
2020-05-22,783.0
