Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,1.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,2.0
2020-03-17,2.0
2020-03-18,0.0
2020-03-19,1.0
2020-03-20,1.0
2020-03-21,2.0
2020-03-22,4.0
2020-03-23,5.0
2020-03-24,1.0
2020-03-25,1.0
2020-03-26,3.0
2020-03-27,6.0
2020-03-28,6.0
2020-03-29,4.0
2020-03-30,1.0
2020-03-31,5.0
2020-04-01,6.0
2020-04-02,6.0
2020-04-03,8.0
2020-04-04,5.0
2020-04-05,7.0
2020-04-06,7.0
2020-04-07,9.0
2020-04-08,9.0
2020-04-09,15.0
2020-04-10,17.0
2020-04-11,11.0
2020-04-12,13.0
2020-04-13,5.0
2020-04-14,14.0
2020-04-15,5.0
2020-04-16,13.0
2020-04-17,9.0
2020-04-18,19.0
2020-04-19,15.0
2020-04-20,11.0
2020-04-21,14.0
2020-04-22,12.0
2020-04-23,11.0
2020-04-24,7.0
2020-04-25,13.0
2020-04-26,10.0
2020-04-27,20.0
2020-04-28,22.0
2020-04-29,21.0
2020-04-30,12.0
2020-05-01,14.0
2020-05-02,9.0
2020-05-03,14.0
2020-05-04,7.0
2020-05-05,16.0
2020-05-06,17.0
2020-05-07,13.0
2020-05-08,21.0
2020-05-09,11.0
2020-05-10,11.0
2020-05-11,8.0
2020-05-12,11.0
2020-05-13,12.0
2020-05-14,15.0
2020-05-15,21.0
2020-05-16,20.0
2020-05-17,18.0
2020-05-18,15.0
2020-05-19,14.0
2020-05-20,21.0
2020-05-21,16.0
2020-05-22,11.0
2020-05-23,28.0
2020-05-24,29.0
2020-05-25,19.0
2020-05-26,14.0
2020-05-27,19.0
2020-05-28,29.0
2020-05-29,34.0
2020-05-30,34.0
2020-05-31,46.0
2020-06-01,46.0
2020-06-02,47.0
2020-06-03,36.0
2020-06-04,38.0
2020-06-05,40.0
2020-06-06,32.0
2020-06-07,39.0
2020-06-08,34.0
2020-06-09,35.0
2020-06-10,36.0
2020-06-11,35.0
2020-06-12,45.0
2020-06-13,62.0
2020-06-14,91.0
2020-06-15,97.0
2020-06-16,94.0
2020-06-17,84.0
2020-06-18,88.0
2020-06-19,79.0
2020-06-20,89.0
2020-06-21,87.0
2020-06-22,85.0
2020-06-23,87.0
2020-06-24,85.0
2020-06-25,83.0
2020-06-26,87.0
2020-06-27,88.0
