Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,5
2020-03-25,9
2020-03-26,13
2020-03-27,13
2020-03-28,19
2020-03-29,24
2020-03-30,30
2020-03-31,31
2020-04-01,31
2020-04-02,39
2020-04-03,43
2020-04-04,51
2020-04-05,57
2020-04-06,60
2020-04-07,69
2020-04-08,79
2020-04-09,83
2020-04-10,96
2020-04-11,93
2020-04-12,98
2020-04-13,109
2020-04-14,118
2020-04-15,123
2020-04-16,125
2020-04-17,132
2020-04-18,140
2020-04-19,150
2020-04-20,165
2020-04-21,170
2020-04-22,167
2020-04-23,175
2020-04-24,181
2020-04-25,191
2020-04-26,207
