Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,4
2020-03-19,6
2020-03-20,6
2020-03-21,6
2020-03-22,6
2020-03-23,9
2020-03-24,9
2020-03-25,9
2020-03-26,12
2020-03-27,12
2020-03-28,12
2020-03-29,12
2020-03-30,12
2020-03-31,14
2020-04-01,14
2020-04-02,14
2020-04-03,15
2020-04-04,15
2020-04-05,15
2020-04-06,13
2020-04-07,13
2020-04-08,15
2020-04-09,15
2020-04-10,15
2020-04-11,15
2020-04-12,18
2020-04-13,17
2020-04-14,37
2020-04-15,47
2020-04-16,47
2020-04-17,75
2020-04-18,75
2020-04-19,75
2020-04-20,146
2020-04-21,202
2020-04-22,201
2020-04-23,201
2020-04-24,206
2020-04-25,250
2020-04-26,249
2020-04-27,248
2020-04-28,305
2020-04-29,305
2020-04-30,305
2020-05-01,305
2020-05-02,305
2020-05-03,305
2020-05-04,299
2020-05-05,299
2020-05-06,422
2020-05-07,422
2020-05-08,422
2020-05-09,422
2020-05-10,422
2020-05-11,422
2020-05-12,422
2020-05-13,503
2020-05-14,563
2020-05-15,565
2020-05-16,565
2020-05-17,565
2020-05-18,690
2020-05-19,796
2020-05-20,861
2020-05-21,871
2020-05-22,784
2020-05-23,784
2020-05-24,784
2020-05-25,866
2020-05-26,866
2020-05-27,866
2020-05-28,866
2020-05-29,1094
