Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,4
2020-03-26,6
2020-03-27,6
2020-03-28,6
2020-03-29,12
2020-03-30,15
2020-03-31,15
2020-04-01,15
2020-04-02,22
2020-04-03,22
2020-04-04,29
2020-04-05,29
2020-04-06,31
2020-04-07,31
2020-04-08,33
2020-04-09,33
2020-04-10,34
2020-04-11,34
2020-04-12,34
2020-04-13,34
2020-04-14,35
2020-04-15,35
2020-04-16,35
2020-04-17,35
2020-04-18,36
2020-04-19,36
2020-04-20,36
2020-04-21,33
2020-04-22,33
2020-04-23,33
2020-04-24,28
2020-04-25,26
2020-04-26,26
2020-04-27,26
2020-04-28,20
2020-04-29,20
2020-04-30,13
2020-05-01,13
2020-05-02,13
2020-05-03,13
2020-05-04,13
2020-05-05,9
2020-05-06,9
2020-05-07,9
2020-05-08,2
2020-05-09,2
